Date	Open	High	Low	Close	Adj Close	Volume
2010-1-4	33.740002	33.810001	33.259998	33.57	33.57	1000600
2010-1-5	33.599998	33.790001	33.349998	33.759998	33.759998	553200
2010-1-6	33.720001	33.77	32.970001	33.310001	33.310001	1066900
2010-1-7	34.209999	34.650002	33.740002	34.619999	34.619999	1077300
2010-1-8	34.220001	35.080002	34.130001	34.389999	34.389999	982000
2010-1-11	34.5	35.23	34.450001	34.740002	34.740002	686500
2010-1-12	34.5	36.099998	34.25	36	36	2089000
2010-1-13	36.099998	39.07	35.990002	38.209999	38.209999	2602200
2010-1-14	38.25	38.25	37.27	37.439999	37.439999	1015200
2010-1-15	37.490002	37.700001	36.869999	37.400002	37.400002	569100
2010-1-19	37.32	38.009998	37.23	37.959999	37.959999	609100
2010-1-20	37.610001	38.049999	36.73	37.32	37.32	835400
2010-1-21	37.459999	37.709999	37.080002	37.169998	37.169998	715600
2010-1-22	37.220001	37.419998	36.450001	36.459999	36.459999	559000
2010-1-25	36.610001	36.650002	36	36.57	36.57	567100
2010-1-26	36.470001	36.990002	36.209999	36.82	36.82	576500
2010-1-27	36.639999	37.549999	36.439999	37.369999	37.369999	831800
2010-1-28	37.450001	37.450001	36.360001	36.48	36.48	950500
2010-1-29	36.509998	36.689999	36.23	36.34	36.34	649000
2010-2-1	36.48	36.580002	36.060001	36.369999	36.369999	403500
2010-2-2	36.34	37.169998	36.080002	37.119999	37.119999	507400
2010-2-3	37.040001	37.18	36.75	36.84	36.84	743700
2010-2-4	36.77	36.77	35.419998	35.450001	35.450001	689300
2010-2-5	35.34	35.75	34.889999	35.650002	35.650002	826600
2010-2-8	35.860001	36.380001	35.169998	35.689999	35.689999	1214700
2010-2-9	35.880001	37.169998	35.880001	36.16	36.16	1559200
2010-2-10	36.049999	36.25	35.529999	35.82	35.82	519100
2010-2-11	35.869999	36.48	35.689999	36.130001	36.130001	620100
2010-2-12	35.790001	36.509998	35.650002	36.470001	36.470001	884500
2010-2-16	36.669998	37	36.330002	36.959999	36.959999	731200
2010-2-17	37.16	37.41	36.889999	37.279999	37.279999	476800
2010-2-18	37.380001	37.720001	37.27	37.599998	37.599998	518900
2010-2-19	37.630001	37.709999	37.25	37.43	37.43	667000
