ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2010.04.26,00:00,0.92580,0.93110,0.92520,0.92680,6192
2010.04.27,00:00,0.92660,0.92860,0.91340,0.91530,8975
2010.04.28,00:00,0.91540,0.92660,0.91350,0.92500,11085
2010.04.29,00:00,0.92520,0.92930,0.92210,0.92760,7500
2010.04.30,00:00,0.92770,0.93230,0.92450,0.92510,8017
2010.05.03,00:00,0.92360,0.92740,0.92170,0.92600,6024
2010.05.04,00:00,0.92590,0.92720,0.90820,0.90870,10028
2010.05.05,00:00,0.90880,0.91170,0.90200,0.90600,11574
2010.05.06,00:00,0.90590,0.90920,0.87090,0.88470,18459
2010.05.07,00:00,0.88480,0.89370,0.88020,0.88620,24494
2010.05.10,00:00,0.90100,0.90770,0.89220,0.90260,14691
2010.05.11,00:00,0.90270,0.90350,0.89320,0.89500,12561
2010.05.12,00:00,0.89510,0.89790,0.88880,0.89350,11077
2010.05.13,00:00,0.89330,0.90250,0.89300,0.89620,10710
2010.05.14,00:00,0.89610,0.89730,0.88500,0.88580,11165
2010.05.17,00:00,0.88500,0.88610,0.86850,0.87730,14669
2010.05.18,00:00,0.87750,0.87880,0.86250,0.86420,14365
2010.05.19,00:00,0.86430,0.86450,0.83550,0.84700,21151
2010.05.20,00:00,0.84690,0.84980,0.81500,0.81710,22057
2010.05.21,00:00,0.81670,0.83650,0.80710,0.83150,26514
2010.05.24,00:00,0.83160,0.83570,0.81850,0.82640,17263
2010.05.25,00:00,0.82650,0.82770,0.80660,0.82760,18263
2010.05.26,00:00,0.82750,0.83890,0.81880,0.82140,18892
2010.05.27,00:00,0.82130,0.85280,0.82010,0.85120,17709
2010.05.28,00:00,0.85130,0.85500,0.84280,0.84730,15350
2010.05.31,00:00,0.84550,0.85140,0.83810,0.84580,7936
2010.06.01,00:00,0.84530,0.84760,0.82810,0.83100,16256
2010.06.02,00:00,0.83080,0.84230,0.82750,0.84190,14400
2010.06.03,00:00,0.84170,0.85210,0.83640,0.84470,12478
2010.06.04,00:00,0.84480,0.84760,0.82120,0.82190,13824
2010.06.07,00:00,0.82000,0.82270,0.80950,0.81020,17199
2010.06.08,00:00,0.81030,0.82840,0.80810,0.82760,16683
2010.06.09,00:00,0.82750,0.83560,0.81940,0.82770,13496
2010.06.10,00:00,0.82790,0.85080,0.82620,0.85000,14635
2010.06.11,00:00,0.84990,0.85060,0.84250,0.85020,11416
2010.06.14,00:00,0.85300,0.86660,0.85090,0.85860,11016
2010.06.15,00:00,0.85850,0.86600,0.85050,0.86540,12988
2010.06.16,00:00,0.86530,0.86730,0.85810,0.86380,10656
2010.06.17,00:00,0.86390,0.86860,0.85810,0.86850,11463
2010.06.18,00:00,0.86860,0.87120,0.86510,0.86980,8374
2010.06.21,00:00,0.88170,0.88580,0.87520,0.87630,12496
2010.06.22,00:00,0.87640,0.88310,0.87120,0.87140,12246
2010.06.23,00:00,0.87160,0.87800,0.86600,0.87380,13241
2010.06.24,00:00,0.87360,0.87700,0.86400,0.86650,11517
2010.06.25,00:00,0.86660,0.87580,0.85950,0.87500,11667
2010.06.28,00:00,0.87340,0.87750,0.87060,0.87200,10071
2010.06.29,00:00,0.87190,0.87200,0.84710,0.84850,12831
2010.06.30,00:00,0.84860,0.85650,0.84010,0.84060,12721
2010.07.01,00:00,0.84070,0.84480,0.83150,0.84330,14910
2010.07.02,00:00,0.84290,0.85090,0.84020,0.84250,12887
2010.07.05,00:00,0.84180,0.84660,0.83700,0.83920,6578
2010.07.06,00:00,0.83930,0.85590,0.83160,0.85250,12553
2010.07.07,00:00,0.85260,0.86630,0.84490,0.86420,11546
2010.07.08,00:00,0.86410,0.87900,0.86210,0.87720,11652
2010.07.09,00:00,0.87730,0.87800,0.87260,0.87720,8232
2010.07.12,00:00,0.87740,0.87790,0.87010,0.87580,8646
2010.07.13,00:00,0.87570,0.88400,0.86820,0.88310,11099
2010.07.14,00:00,0.88320,0.88700,0.87840,0.88490,9890
2010.07.15,00:00,0.88470,0.88540,0.87260,0.88440,12559
2010.07.16,00:00,0.88430,0.88450,0.86810,0.86950,11233
2010.07.19,00:00,0.86620,0.87180,0.86320,0.86830,10910
2010.07.20,00:00,0.86820,0.88460,0.86660,0.88370,11754
2010.07.21,00:00,0.88380,0.88580,0.87620,0.87800,11059
2010.07.22,00:00,0.87810,0.89520,0.87370,0.89320,11519
2010.07.23,00:00,0.89340,0.89700,0.88950,0.89690,12166
2010.07.26,00:00,0.89570,0.90350,0.89270,0.90240,10004
2010.07.27,00:00,0.90260,0.90680,0.89990,0.90220,9306
2010.07.28,00:00,0.90230,0.90240,0.89060,0.89320,10254
2010.07.29,00:00,0.89310,0.90420,0.89050,0.90030,9595
2010.07.30,00:00,0.90020,0.90660,0.89650,0.90450,10383
2010.08.02,00:00,0.90540,0.91440,0.90450,0.91350,8785
2010.08.03,00:00,0.91360,0.91470,0.90690,0.91250,8878
2010.08.04,00:00,0.91260,0.91810,0.90930,0.91650,8405
2010.08.05,00:00,0.91660,0.91760,0.91140,0.91590,7165
2010.08.06,00:00,0.91570,0.92200,0.91330,0.91870,8368
2010.08.09,00:00,0.91900,0.92040,0.91510,0.91630,7340
2010.08.10,00:00,0.91640,0.91650,0.90560,0.91340,9792
2010.08.11,00:00,0.91330,0.91390,0.89650,0.89690,10818
2010.08.12,00:00,0.89700,0.90060,0.89120,0.89610,11741
2010.08.13,00:00,0.89620,0.90330,0.89240,0.89240,8757
2010.08.16,00:00,0.89350,0.89920,0.88570,0.89810,9955
2010.08.17,00:00,0.89820,0.90770,0.89440,0.90520,13665
2010.08.18,00:00,0.90510,0.90570,0.89710,0.89820,8391
2010.08.19,00:00,0.89800,0.90160,0.89030,0.89240,10196
2010.08.20,00:00,0.89250,0.89310,0.88400,0.89210,9300
2010.08.23,00:00,0.88670,0.89810,0.88570,0.89110,8429
2010.08.24,00:00,0.89120,0.89130,0.87950,0.88140,10274
2010.08.25,00:00,0.88150,0.88920,0.87690,0.88380,10069
2010.08.26,00:00,0.88370,0.89160,0.88300,0.88610,9043
2010.08.27,00:00,0.88620,0.89970,0.88430,0.89890,8919
2010.08.30,00:00,0.90190,0.90290,0.89150,0.89150,6594
2010.08.31,00:00,0.89170,0.89540,0.88590,0.89040,11267
2010.09.01,00:00,0.89020,0.91140,0.88990,0.91140,9963
2010.09.02,00:00,0.91150,0.91190,0.90520,0.91080,8824
2010.09.03,00:00,0.91090,0.91730,0.90640,0.91660,8163
2010.09.06,00:00,0.91530,0.91790,0.91440,0.91740,4918
2010.09.07,00:00,0.91750,0.91770,0.90900,0.91050,9861
2010.09.08,00:00,0.91040,0.91910,0.90960,0.91800,8701
2010.09.09,00:00,0.91810,0.92750,0.91690,0.92280,8463
2010.09.10,00:00,0.92290,0.92670,0.92030,0.92650,8040
2010.09.13,00:00,0.92970,0.93610,0.92870,0.93590,7712
2010.09.14,00:00,0.93600,0.94570,0.93130,0.93960,8825
2010.09.15,00:00,0.93950,0.94290,0.93420,0.93790,10423
2010.09.16,00:00,0.93800,0.93950,0.93300,0.93680,9210
2010.09.17,00:00,0.93690,0.94670,0.93500,0.93600,8463
2010.09.20,00:00,0.93790,0.94930,0.93610,0.94710,7322
2010.09.21,00:00,0.94720,0.95640,0.94410,0.95510,8656
2010.09.22,00:00,0.95500,0.95990,0.95080,0.95670,9825
2010.09.23,00:00,0.95640,0.95740,0.94660,0.94890,10174
2010.09.24,00:00,0.94880,0.96140,0.94620,0.95950,8926
2010.09.27,00:00,0.96110,0.96440,0.95730,0.96080,8010
2010.09.28,00:00,0.96070,0.96860,0.95590,0.96740,9740
2010.09.29,00:00,0.96750,0.97290,0.96580,0.96960,9315
2010.09.30,00:00,0.96950,0.97330,0.96240,0.96690,10740
2010.10.01,00:00,0.96700,0.97500,0.96350,0.97280,8990
2010.10.04,00:00,0.97270,0.97310,0.96520,0.96820,8147
2010.10.05,00:00,0.96810,0.97250,0.95410,0.97170,10838
2010.10.06,00:00,0.97160,0.97900,0.96930,0.97730,8897
2010.10.07,00:00,0.97720,0.99170,0.97560,0.98240,9998
2010.10.08,00:00,0.98230,0.98710,0.97080,0.98600,11011
2010.10.11,00:00,0.98950,0.99060,0.98210,0.98370,7991
2010.10.12,00:00,0.98380,0.98760,0.97660,0.98620,10838
2010.10.13,00:00,0.98600,0.99360,0.98330,0.99040,8842
2010.10.14,00:00,0.99020,0.99930,0.98910,0.99410,10735
2010.10.15,00:00,0.99400,1.00030,0.98620,0.98910,11732
2010.10.18,00:00,0.99290,0.99440,0.98000,0.98880,11033
2010.10.19,00:00,0.98870,0.99590,0.96610,0.96850,15662
