ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2010.04.26,00:00,1.33480,1.33960,1.32910,1.33820,10372
2010.04.27,00:00,1.33810,1.34150,1.31650,1.31730,14149
2010.04.28,00:00,1.31740,1.32660,1.31140,1.32200,15658
2010.04.29,00:00,1.32180,1.32780,1.31840,1.32330,11752
2010.04.30,00:00,1.32320,1.33420,1.32230,1.33130,10092
2010.05.03,00:00,1.33570,1.33610,1.31540,1.31940,8031
2010.05.04,00:00,1.31930,1.32130,1.29800,1.29860,13126
2010.05.05,00:00,1.29870,1.29960,1.28030,1.28130,15476
2010.05.06,00:00,1.28120,1.28560,1.25210,1.26210,24125
2010.05.07,00:00,1.26200,1.27970,1.25850,1.27300,30021
2010.05.10,00:00,1.29150,1.30930,1.27580,1.27860,24708
2010.05.11,00:00,1.27870,1.28030,1.26560,1.26620,19086
2010.05.12,00:00,1.26610,1.27390,1.26050,1.26130,16209
2010.05.13,00:00,1.26140,1.26840,1.25170,1.25340,14311
2010.05.14,00:00,1.25350,1.25750,1.23580,1.23810,16895
2010.05.17,00:00,1.23420,1.24140,1.22330,1.23960,21594
2010.05.18,00:00,1.23950,1.24440,1.21600,1.22010,20960
2010.05.19,00:00,1.22020,1.24230,1.21430,1.24140,25577
2010.05.20,00:00,1.24150,1.25980,1.22960,1.24850,23780
2010.05.21,00:00,1.24860,1.26710,1.24540,1.25720,25442
2010.05.24,00:00,1.25370,1.25630,1.23440,1.23710,17274
2010.05.25,00:00,1.23700,1.23700,1.21770,1.23440,19948
2010.05.26,00:00,1.23450,1.23870,1.21660,1.21770,17116
2010.05.27,00:00,1.21760,1.23930,1.21530,1.23610,19555
2010.05.28,00:00,1.23600,1.24520,1.22670,1.22680,17281
2010.05.31,00:00,1.22640,1.23340,1.22600,1.23040,8511
2010.06.01,00:00,1.23030,1.23530,1.21110,1.22290,18072
2010.06.02,00:00,1.22280,1.22720,1.21750,1.22500,15936
2010.06.03,00:00,1.22490,1.23260,1.21510,1.21620,13762
2010.06.04,00:00,1.21610,1.22150,1.19550,1.19650,16223
2010.06.07,00:00,1.19270,1.19910,1.18760,1.19230,17950
2010.06.08,00:00,1.19220,1.20080,1.19020,1.19720,15259
2010.06.09,00:00,1.19730,1.20730,1.19240,1.19780,14302
2010.06.10,00:00,1.19770,1.21410,1.19560,1.21230,15410
2010.06.11,00:00,1.21250,1.21520,1.20450,1.20930,12700
2010.06.14,00:00,1.21290,1.22980,1.21160,1.22200,12649
2010.06.15,00:00,1.22210,1.23490,1.21680,1.23320,14582
2010.06.16,00:00,1.23310,1.23530,1.22550,1.23090,11897
2010.06.17,00:00,1.23080,1.24120,1.22410,1.23880,12730
2010.06.18,00:00,1.23870,1.24160,1.23530,1.23730,8785
2010.06.21,00:00,1.24500,1.24670,1.23040,1.23120,13432
2010.06.22,00:00,1.23110,1.23540,1.22510,1.22700,12713
2010.06.23,00:00,1.22710,1.23430,1.22070,1.23100,12348
2010.06.24,00:00,1.23090,1.23880,1.22610,1.23330,11043
2010.06.25,00:00,1.23320,1.23940,1.22530,1.23840,11647
2010.06.28,00:00,1.23720,1.23970,1.22650,1.22760,11377
2010.06.29,00:00,1.22770,1.22900,1.21510,1.21870,11915
2010.06.30,00:00,1.21860,1.23040,1.21660,1.22360,12860
2010.07.01,00:00,1.22350,1.25400,1.21930,1.25260,14517
2010.07.02,00:00,1.25270,1.26110,1.24820,1.25490,12887
2010.07.05,00:00,1.25640,1.25660,1.25090,1.25370,6526
2010.07.06,00:00,1.25360,1.26610,1.24800,1.26250,13120
2010.07.07,00:00,1.26260,1.26640,1.25530,1.26370,11547
2010.07.08,00:00,1.26380,1.27110,1.26200,1.26970,11041
2010.07.09,00:00,1.26960,1.27220,1.26080,1.26390,8243
2010.07.12,00:00,1.26370,1.26470,1.25500,1.25960,8641
2010.07.13,00:00,1.25950,1.27380,1.25220,1.27240,11550
2010.07.14,00:00,1.27230,1.27770,1.26820,1.27430,10050
2010.07.15,00:00,1.27420,1.29540,1.27080,1.29480,12587
2010.07.16,00:00,1.29500,1.30070,1.28890,1.29260,12037
2010.07.19,00:00,1.29050,1.29910,1.28700,1.29410,11080
2010.07.20,00:00,1.29420,1.30280,1.28380,1.28800,10659
2010.07.21,00:00,1.28790,1.29130,1.27320,1.27530,11376
2010.07.22,00:00,1.27540,1.29310,1.27370,1.28920,11382
2010.07.23,00:00,1.28930,1.29650,1.27930,1.29140,12814
2010.07.26,00:00,1.28900,1.30050,1.28760,1.29930,11193
2010.07.27,00:00,1.29940,1.30460,1.29520,1.29950,12640
2010.07.28,00:00,1.29960,1.30410,1.29660,1.29940,11576
2010.07.29,00:00,1.29950,1.31060,1.29780,1.30780,10017
2010.07.30,00:00,1.30800,1.30930,1.29800,1.30300,10920
2010.08.02,00:00,1.30630,1.31950,1.30540,1.31800,10019
2010.08.03,00:00,1.31780,1.32610,1.31460,1.32290,9750
2010.08.04,00:00,1.32300,1.32390,1.31300,1.31600,8571
2010.08.05,00:00,1.31610,1.32340,1.31180,1.31870,8908
2010.08.06,00:00,1.31860,1.33330,1.31560,1.32910,8693
2010.08.09,00:00,1.32950,1.33070,1.32150,1.32210,7368
2010.08.10,00:00,1.32200,1.32340,1.30730,1.31750,11254
2010.08.11,00:00,1.31740,1.31850,1.28600,1.28620,12767
2010.08.12,00:00,1.28610,1.29310,1.27790,1.28280,12380
2010.08.13,00:00,1.28300,1.29050,1.27510,1.27520,10241
2010.08.16,00:00,1.27670,1.28700,1.27330,1.28250,11395
2010.08.17,00:00,1.28260,1.29150,1.28030,1.28800,17409
2010.08.18,00:00,1.28810,1.29210,1.28220,1.28490,9742
2010.08.19,00:00,1.28480,1.29010,1.27710,1.28200,13302
2010.08.20,00:00,1.28210,1.28320,1.26620,1.27080,10374
2010.08.23,00:00,1.27060,1.27280,1.26460,1.26560,9707
2010.08.24,00:00,1.26550,1.27180,1.25860,1.26260,12604
2010.08.25,00:00,1.26250,1.27250,1.26080,1.26580,12058
2010.08.26,00:00,1.26570,1.27630,1.26490,1.27150,11089
2010.08.27,00:00,1.27130,1.27780,1.26750,1.27320,10434
2010.08.30,00:00,1.27610,1.27700,1.26590,1.26620,7482
2010.08.31,00:00,1.26610,1.27420,1.26250,1.26790,11420
2010.09.01,00:00,1.26800,1.28540,1.26620,1.28070,10210
2010.09.02,00:00,1.28080,1.28470,1.27760,1.28240,9365
2010.09.03,00:00,1.28230,1.28960,1.28080,1.28950,8740
2010.09.06,00:00,1.28900,1.29170,1.28660,1.28760,5666
2010.09.07,00:00,1.28770,1.28770,1.26760,1.26820,11078
2010.09.08,00:00,1.26810,1.27620,1.26580,1.27200,11797
2010.09.09,00:00,1.27190,1.27640,1.26630,1.26940,11337
2010.09.10,00:00,1.26930,1.27450,1.26430,1.27090,9905
2010.09.13,00:00,1.27160,1.28910,1.27030,1.28820,11375
2010.09.14,00:00,1.28810,1.30320,1.28290,1.29970,10613
2010.09.15,00:00,1.29960,1.30360,1.29550,1.30100,11568
2010.09.16,00:00,1.30110,1.31160,1.29750,1.30770,10037
2010.09.17,00:00,1.30760,1.31580,1.30190,1.30360,9717
2010.09.20,00:00,1.30600,1.31200,1.30280,1.30600,7762
2010.09.21,00:00,1.30610,1.32860,1.30570,1.32630,9604
2010.09.22,00:00,1.32620,1.34390,1.32480,1.34050,11889
2010.09.23,00:00,1.34040,1.34130,1.33040,1.33130,10805
2010.09.24,00:00,1.33120,1.34930,1.32860,1.34910,11238
2010.09.27,00:00,1.34860,1.35050,1.34250,1.34530,9443
2010.09.28,00:00,1.34550,1.35960,1.33800,1.35840,12403
2010.09.29,00:00,1.35850,1.36460,1.35660,1.36260,11345
2010.09.30,00:00,1.36250,1.36810,1.35590,1.36340,13525
2010.10.01,00:00,1.36330,1.37820,1.36180,1.37790,10826
2010.10.04,00:00,1.38020,1.38050,1.36660,1.36840,9826
2010.10.05,00:00,1.36830,1.38580,1.36370,1.38380,12012
2010.10.06,00:00,1.38390,1.39470,1.37990,1.39300,10920
2010.10.07,00:00,1.39290,1.40280,1.38570,1.39250,11653
2010.10.08,00:00,1.39240,1.39820,1.38330,1.39280,12622
2010.10.11,00:00,1.39940,1.40110,1.38670,1.38770,8848
2010.10.12,00:00,1.38760,1.39340,1.37750,1.39240,13137
2010.10.13,00:00,1.39250,1.40010,1.39120,1.39610,10714
2010.10.14,00:00,1.39620,1.41210,1.39530,1.40830,11755
2010.10.15,00:00,1.40820,1.41580,1.39360,1.39730,14218
2010.10.18,00:00,1.39900,1.39970,1.38300,1.39330,13010
2010.10.19,00:00,1.39340,1.40030,1.37130,1.37260,17309
2010.10.20,00:00,1.37250,1.39900,1.36970,1.39630,14163
2010.10.21,00:00,1.39620,1.40490,1.38710,1.39190,16596
2010.10.22,00:00,1.39200,1.39710,1.38570,1.39280,12415
2010.10.25,00:00,1.39730,1.40790,1.39340,1.39640,12830
2010.10.26,00:00,1.39630,1.39820,1.38250,1.38570,13379
2010.10.27,00:00,1.38560,1.38780,1.37330,1.37660,15421
2010.10.28,00:00,1.37670,1.39450,1.37640,1.39290,11529
2010.10.29,00:00,1.39280,1.39500,1.38060,1.39170,12382
2010.11.01,00:00,1.39610,1.40100,1.38630,1.38910,12795
2010.11.02,00:00,1.38920,1.40570,1.38810,1.40320,12114
2010.11.03,00:00,1.40330,1.41700,1.39910,1.41370,15821
2010.11.04,00:00,1.41360,1.42810,1.41020,1.42070,14267
2010.11.05,00:00,1.42080,1.42480,1.40230,1.40330,13961
2010.11.08,00:00,1.40560,1.40850,1.38870,1.39190,13586
2010.11.09,00:00,1.39200,1.39730,1.37500,1.37720,14848
2010.11.10,00:00,1.37710,1.38250,1.36700,1.37820,18658
2010.11.11,00:00,1.37810,1.38200,1.36360,1.36660,14259
2010.11.12,00:00,1.36670,1.37760,1.35730,1.36920,18358
2010.11.15,00:00,1.37050,1.37500,1.35620,1.35850,14090
2010.11.16,00:00,1.35860,1.36550,1.34460,1.34870,17275
2010.11.17,00:00,1.34860,1.35650,1.34600,1.35270,12610
2010.11.18,00:00,1.35260,1.36660,1.35240,1.36400,12743
2010.11.19,00:00,1.36410,1.37300,1.36070,1.36850,10673
2010.11.22,00:00,1.37180,1.37850,1.35770,1.36240,13158
2010.11.23,00:00,1.36250,1.36320,1.33610,1.33650,16703
2010.11.24,00:00,1.33660,1.34200,1.32840,1.33330,15440
2010.11.25,00:00,1.33320,1.33870,1.32860,1.33600,9747
2010.11.26,00:00,1.33610,1.33620,1.31990,1.32470,13654
2010.11.29,00:00,1.32820,1.33010,1.30630,1.31240,15437
2010.11.30,00:00,1.31230,1.31490,1.29680,1.29800,16751
2010.12.01,00:00,1.29820,1.31810,1.29700,1.31370,15333
2010.12.02,00:00,1.31380,1.32460,1.30600,1.32070,15526
2010.12.03,00:00,1.32080,1.34170,1.31920,1.34110,13646
2010.12.06,00:00,1.33750,1.34210,1.32460,1.33060,13232
2010.12.07,00:00,1.33050,1.34000,1.32560,1.32590,14434
2010.12.08,00:00,1.32600,1.32790,1.31800,1.32600,14499
2010.12.09,00:00,1.32590,1.33220,1.31640,1.32360,13577
2010.12.10,00:00,1.32370,1.32810,1.31780,1.32270,9682
2010.12.13,00:00,1.31960,1.34330,1.31820,1.33910,10137
2010.12.14,00:00,1.33900,1.34980,1.33620,1.33770,12626
2010.12.15,00:00,1.33750,1.33800,1.32070,1.32120,14055
2010.12.16,00:00,1.32110,1.32650,1.31810,1.32410,11930
2010.12.17,00:00,1.32440,1.33580,1.31320,1.31840,11488
2010.12.20,00:00,1.31840,1.31850,1.30940,1.31280,10522
2010.12.21,00:00,1.31270,1.32010,1.30730,1.30990,10517
2010.12.22,00:00,1.31000,1.31800,1.30780,1.30980,9519
2010.12.23,00:00,1.30970,1.31510,1.30550,1.31120,8315
2010.12.24,00:00,1.31130,1.31470,1.30870,1.31150,4141
2010.12.27,00:00,1.31130,1.31690,1.30710,1.31620,6662
2010.12.28,00:00,1.31630,1.32730,1.30930,1.31140,9655
2010.12.29,00:00,1.31150,1.32380,1.30830,1.32250,8041
2010.12.30,00:00,1.32260,1.33140,1.32150,1.32890,8676
2010.12.31,00:00,1.32910,1.34230,1.32840,1.33650,8068
2011.01.03,00:00,1.33460,1.33940,1.32500,1.33600,15502
2011.01.04,00:00,1.33600,1.34330,1.32920,1.33070,66564
2011.01.05,00:00,1.33060,1.33240,1.31250,1.31480,65216
2011.01.06,00:00,1.31480,1.31690,1.29960,1.30010,61395
2011.01.07,00:00,1.30010,1.30200,1.29040,1.29080,61954
2011.01.10,00:00,1.28760,1.29630,1.28730,1.29500,64127
2011.01.11,00:00,1.29500,1.29920,1.29040,1.29740,57876
2011.01.12,00:00,1.29730,1.31440,1.29610,1.31340,68129
2011.01.13,00:00,1.31340,1.33820,1.30880,1.33620,65602
2011.01.14,00:00,1.33620,1.34560,1.33140,1.33720,64353
2011.01.17,00:00,1.33840,1.33840,1.32440,1.32920,46080
2011.01.18,00:00,1.32940,1.34660,1.32530,1.33870,69636
2011.01.19,00:00,1.33850,1.35370,1.33670,1.34720,71787
2011.01.20,00:00,1.34720,1.35220,1.33950,1.34710,74917
2011.01.21,00:00,1.34710,1.36230,1.34470,1.36130,65007
2011.01.24,00:00,1.36410,1.36850,1.35390,1.36360,74314
2011.01.25,00:00,1.36370,1.37030,1.35720,1.36820,82239
2011.01.26,00:00,1.36810,1.37200,1.36400,1.37110,68867
2011.01.27,00:00,1.37120,1.37580,1.36360,1.37320,80975
2011.01.28,00:00,1.37320,1.37450,1.35820,1.36070,71036
2011.01.31,00:00,1.35870,1.37390,1.35700,1.36930,75005
2011.02.01,00:00,1.36930,1.38420,1.36890,1.38280,78315
2011.02.02,00:00,1.38260,1.38600,1.37660,1.38080,73069
2011.02.03,00:00,1.38090,1.38250,1.36090,1.36330,74850
2011.02.04,00:00,1.36330,1.36760,1.35430,1.35870,61448
2011.02.07,00:00,1.35850,1.36250,1.35070,1.35810,72676
2011.02.08,00:00,1.35820,1.36880,1.35710,1.36240,75043
2011.02.09,00:00,1.36230,1.37440,1.36100,1.37310,67803
2011.02.10,00:00,1.37300,1.37340,1.35760,1.36010,70406
2011.02.11,00:00,1.36020,1.36200,1.34970,1.35460,61076
2011.02.14,00:00,1.35070,1.35580,1.34280,1.34870,67518
2011.02.15,00:00,1.34870,1.35490,1.34600,1.34850,67851
2011.02.16,00:00,1.34850,1.35870,1.34610,1.35670,67170
2011.02.17,00:00,1.35670,1.36180,1.35360,1.36070,66430
2011.02.18,00:00,1.36070,1.37140,1.35440,1.36840,63998
2011.02.21,00:00,1.36980,1.37140,1.36460,1.36750,42978
2011.02.22,00:00,1.36770,1.37020,1.35230,1.36480,75348
2011.02.23,00:00,1.36490,1.37860,1.36470,1.37480,67446
2011.02.24,00:00,1.37480,1.38190,1.37030,1.37990,65684
2011.02.25,00:00,1.37980,1.38370,1.37230,1.37510,57536
2011.02.28,00:00,1.37560,1.38540,1.37100,1.38050,68905
2011.03.01,00:00,1.38050,1.38530,1.37620,1.37750,71695
2011.03.02,00:00,1.37760,1.38890,1.37420,1.38640,49432
2011.03.03,00:00,1.38640,1.39740,1.38330,1.39690,60089
2011.03.04,00:00,1.39680,1.40070,1.39400,1.39840,56493
2011.03.07,00:00,1.39900,1.40350,1.39550,1.39660,80484
2011.03.08,00:00,1.39680,1.39880,1.38620,1.39040,85019
2011.03.09,00:00,1.39030,1.39400,1.38540,1.39070,78951
2011.03.10,00:00,1.39070,1.39240,1.37740,1.37970,77975
2011.03.11,00:00,1.37970,1.39030,1.37520,1.39020,73643
2011.03.14,00:00,1.39640,1.40020,1.39040,1.39900,96224
2011.03.15,00:00,1.39900,1.40120,1.38540,1.39970,97111
2011.03.16,00:00,1.39970,1.40010,1.38660,1.38980,107795
2011.03.17,00:00,1.38960,1.40510,1.38660,1.40200,107818
2011.03.18,00:00,1.40200,1.41830,1.39790,1.41670,85218
2011.03.21,00:00,1.41940,1.42390,1.41390,1.42250,69962
2011.03.22,00:00,1.42240,1.42470,1.41780,1.41950,65787
2011.03.23,00:00,1.41960,1.42140,1.40840,1.40860,72391
2011.03.24,00:00,1.40850,1.42190,1.40530,1.41750,76538
2011.03.25,00:00,1.41750,1.41930,1.40550,1.40740,72570
2011.03.28,00:00,1.40390,1.41140,1.40200,1.40860,72690
2011.03.29,00:00,1.40860,1.41480,1.40460,1.41110,82995
2011.03.30,00:00,1.41110,1.41460,1.40510,1.41250,78880
2011.03.31,00:00,1.41250,1.42320,1.41150,1.41560,83942
2011.04.01,00:00,1.41560,1.42440,1.40600,1.42210,76856
2011.04.04,00:00,1.42270,1.42680,1.41920,1.42190,71872
2011.04.05,00:00,1.42190,1.42450,1.41510,1.42210,73494
2011.04.06,00:00,1.42200,1.43480,1.42060,1.43300,84511
2011.04.07,00:00,1.43310,1.43360,1.42420,1.43070,85801
2011.04.08,00:00,1.43070,1.44660,1.42900,1.44550,79118
2011.04.11,00:00,1.44700,1.44820,1.44200,1.44350,77264
2011.04.12,00:00,1.44350,1.45190,1.43760,1.44760,111594
2011.04.13,00:00,1.44770,1.45200,1.44130,1.44420,92251
2011.04.14,00:00,1.44420,1.45140,1.43650,1.44860,95493
2011.04.15,00:00,1.44880,1.45030,1.43910,1.44260,70055
2011.04.18,00:00,1.44100,1.44200,1.41560,1.42320,96439
2011.04.19,00:00,1.42300,1.43520,1.42040,1.43330,92446
2011.04.20,00:00,1.43330,1.45460,1.43270,1.45210,87363
2011.04.21,00:00,1.45210,1.46480,1.45040,1.45510,78374
2011.04.22,00:00,1.45510,1.45870,1.45330,1.45450,19238
2011.04.25,00:00,1.45590,1.46260,1.45240,1.45780,64226
2011.04.26,00:00,1.45780,1.46560,1.44920,1.46420,100566
2011.04.27,00:00,1.46430,1.47950,1.46320,1.47860,109625
2011.04.28,00:00,1.47860,1.48810,1.47680,1.48220,103853
2011.04.29,00:00,1.48210,1.48770,1.48030,1.48090,65873
2011.05.02,00:00,1.48150,1.49010,1.47630,1.48290,101830
2011.05.03,00:00,1.48280,1.48890,1.47540,1.48240,120842
2011.05.04,00:00,1.48240,1.49390,1.47740,1.48250,127682
2011.05.05,00:00,1.48260,1.48990,1.45100,1.45250,124507
2011.05.06,00:00,1.45340,1.45870,1.43150,1.43510,139333
2011.05.09,00:00,1.43590,1.44410,1.42540,1.43650,148759
2011.05.10,00:00,1.43650,1.44110,1.42700,1.44080,150072
2011.05.11,00:00,1.44080,1.44220,1.41720,1.41910,143266
2011.05.12,00:00,1.41910,1.42760,1.41230,1.42450,150723
2011.05.13,00:00,1.42450,1.43380,1.40650,1.41050,137610
2011.05.16,00:00,1.40920,1.42430,1.40470,1.41540,134580
2011.05.17,00:00,1.41550,1.42380,1.41210,1.42360,156160
2011.05.18,00:00,1.42350,1.42860,1.41940,1.42480,140188
2011.05.19,00:00,1.42480,1.43250,1.42060,1.43070,130202
2011.05.20,00:00,1.43070,1.43440,1.41380,1.41550,142164
2011.05.23,00:00,1.41260,1.41450,1.39690,1.40470,158338
2011.05.24,00:00,1.40470,1.41330,1.40020,1.40990,140417
2011.05.25,00:00,1.40990,1.41180,1.40130,1.40870,155259
2011.05.26,00:00,1.40870,1.42060,1.40670,1.41430,133255
2011.05.27,00:00,1.41420,1.43030,1.41250,1.42850,146995
2011.05.30,00:00,1.43200,1.43210,1.42560,1.42810,65702
2011.05.31,00:00,1.42810,1.44230,1.42780,1.43950,138399
2011.06.01,00:00,1.43950,1.44580,1.43200,1.43270,143308
2011.06.02,00:00,1.43270,1.45130,1.43070,1.44900,122238
2011.06.03,00:00,1.44890,1.46420,1.44500,1.46330,133193
2011.06.06,00:00,1.46100,1.46570,1.45560,1.45750,125594
2011.06.07,00:00,1.45750,1.46950,1.45630,1.46900,132237
2011.06.08,00:00,1.46900,1.46940,1.45630,1.45820,134627
2011.06.09,00:00,1.45820,1.46510,1.44770,1.45080,133786
2011.06.10,00:00,1.45080,1.45500,1.43210,1.43340,128703
2011.06.13,00:00,1.43210,1.44300,1.43200,1.44120,138928
2011.06.14,00:00,1.44120,1.44970,1.43780,1.44400,151354
2011.06.15,00:00,1.44390,1.44500,1.41560,1.41790,166870
2011.06.16,00:00,1.41790,1.42190,1.40730,1.42100,170748
2011.06.17,00:00,1.42090,1.43380,1.41260,1.43040,129880
2011.06.20,00:00,1.42770,1.43270,1.41900,1.43030,128096
2011.06.21,00:00,1.43030,1.44220,1.43030,1.44090,128066
2011.06.22,00:00,1.44090,1.44410,1.43410,1.43550,137099
2011.06.23,00:00,1.43550,1.43570,1.41260,1.42550,147780
2011.06.24,00:00,1.42550,1.43050,1.41410,1.41800,142389
2011.06.27,00:00,1.41900,1.42920,1.41020,1.42860,126001
2011.06.28,00:00,1.42860,1.43960,1.42370,1.43700,138396
2011.06.29,00:00,1.43700,1.44480,1.43280,1.44350,137563
2011.06.30,00:00,1.44330,1.45370,1.44250,1.45010,123091
2011.07.01,00:00,1.45000,1.45510,1.44360,1.45270,109180
2011.07.04,00:00,1.45320,1.45770,1.44950,1.45400,82886
2011.07.05,00:00,1.45370,1.45520,1.43960,1.44280,107677
2011.07.06,00:00,1.44270,1.44650,1.42850,1.43170,84958
2011.07.07,00:00,1.43170,1.43730,1.42190,1.43620,85347
2011.07.08,00:00,1.43620,1.43670,1.42040,1.42580,81577
2011.07.11,00:00,1.42040,1.42260,1.39850,1.40280,96514
2011.07.12,00:00,1.40290,1.40610,1.38360,1.39750,128274
2011.07.13,00:00,1.39750,1.41920,1.39510,1.41570,102582
2011.07.14,00:00,1.41570,1.42810,1.41150,1.41410,102318
2011.07.15,00:00,1.41410,1.41980,1.40920,1.41470,85113
2011.07.18,00:00,1.41060,1.41330,1.40130,1.41110,91482
2011.07.19,00:00,1.41110,1.42170,1.40680,1.41540,86904
2011.07.20,00:00,1.41540,1.42380,1.41320,1.42130,82339
2011.07.21,00:00,1.42140,1.44330,1.41390,1.44240,93519
2011.07.22,00:00,1.44230,1.44360,1.43230,1.43670,76599
2011.07.25,00:00,1.43860,1.44150,1.43240,1.43750,79231
2011.07.26,00:00,1.43750,1.45250,1.43570,1.45090,87697
2011.07.27,00:00,1.45090,1.45350,1.43390,1.43680,84574
2011.07.28,00:00,1.43680,1.43990,1.42530,1.43320,93785
2011.07.29,00:00,1.43330,1.44130,1.42290,1.43650,94760
2011.08.01,00:00,1.43810,1.44530,1.41840,1.42450,103499
2011.08.02,00:00,1.42500,1.42820,1.41510,1.42020,119789
2011.08.03,00:00,1.42010,1.43430,1.41420,1.43220,123044
2011.08.04,00:00,1.43220,1.43700,1.40890,1.40890,127560
2011.08.05,00:00,1.40890,1.42970,1.40550,1.42810,135075
2011.08.08,00:00,1.44160,1.44250,1.41280,1.41780,140272
2011.08.09,00:00,1.41790,1.43760,1.41520,1.43750,148199
2011.08.10,00:00,1.43740,1.44000,1.41610,1.41760,133812
2011.08.11,00:00,1.41770,1.42930,1.41030,1.42380,131002
2011.08.12,00:00,1.42390,1.42910,1.41490,1.42490,103910
2011.08.15,00:00,1.42660,1.44770,1.42180,1.44430,94326
2011.08.16,00:00,1.44430,1.44710,1.43540,1.44070,109422
2011.08.17,00:00,1.44070,1.45170,1.43240,1.44240,99158
2011.08.18,00:00,1.44240,1.44500,1.42700,1.43320,110412
2011.08.19,00:00,1.43320,1.44520,1.42580,1.43950,115241
2011.08.22,00:00,1.43770,1.44340,1.43470,1.43570,97234
2011.08.23,00:00,1.43560,1.44990,1.43530,1.44410,98462
2011.08.24,00:00,1.44410,1.44810,1.43770,1.44140,93169
2011.08.25,00:00,1.44140,1.44740,1.43270,1.43780,96283
2011.08.26,00:00,1.43770,1.45010,1.43280,1.44940,97048
2011.08.29,00:00,1.44980,1.45490,1.44660,1.45100,78256
