ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2010.04.23,00:00,1.53790,1.53970,1.52940,1.53770,14237
2010.04.26,00:00,1.53880,1.54970,1.53720,1.54570,11861
2010.04.27,00:00,1.54560,1.54830,1.52380,1.52630,14156
2010.04.28,00:00,1.52620,1.52870,1.51250,1.52080,15444
2010.04.29,00:00,1.52070,1.53400,1.51410,1.53170,14167
2010.04.30,00:00,1.53180,1.53900,1.52520,1.52940,13102
2010.05.03,00:00,1.53280,1.53300,1.52100,1.52450,9510
2010.05.04,00:00,1.52440,1.52640,1.50890,1.51420,15376
2010.05.05,00:00,1.51410,1.51710,1.50660,1.50990,15669
2010.05.06,00:00,1.51000,1.51460,1.47110,1.48270,25063
2010.05.07,00:00,1.48290,1.49360,1.44740,1.48180,39401
2010.05.10,00:00,1.48770,1.50520,1.47570,1.48460,25993
2010.05.11,00:00,1.48450,1.50020,1.47190,1.49540,24475
2010.05.12,00:00,1.49530,1.50430,1.48170,1.48210,22176
2010.05.13,00:00,1.48220,1.49160,1.45920,1.46120,16976
2010.05.14,00:00,1.46110,1.46380,1.44950,1.45350,18956
2010.05.17,00:00,1.45110,1.45450,1.42490,1.44700,24548
2010.05.18,00:00,1.44710,1.45200,1.43030,1.43320,22602
2010.05.19,00:00,1.43330,1.44480,1.42370,1.44420,27644
2010.05.20,00:00,1.44430,1.44640,1.42290,1.43590,26559
2010.05.21,00:00,1.43620,1.44950,1.43160,1.44840,28795
2010.05.24,00:00,1.44610,1.45270,1.43510,1.44240,20034
2010.05.25,00:00,1.44230,1.44230,1.42580,1.44070,21794
2010.05.26,00:00,1.44080,1.44480,1.43290,1.43870,19871
2010.05.27,00:00,1.43860,1.46060,1.43660,1.45800,22887
2010.05.28,00:00,1.45790,1.46100,1.44330,1.44570,19621
2010.05.31,00:00,1.44080,1.45470,1.44040,1.45360,9100
2010.06.01,00:00,1.45350,1.47220,1.44380,1.46490,20744
2010.06.02,00:00,1.46470,1.47690,1.45520,1.46500,20662
2010.06.03,00:00,1.46510,1.47410,1.45850,1.46130,14621
2010.06.04,00:00,1.46110,1.46800,1.44530,1.44720,16375
2010.06.07,00:00,1.44100,1.45610,1.43870,1.44650,20412
2010.06.08,00:00,1.44670,1.45270,1.43450,1.44680,17228
2010.06.09,00:00,1.44690,1.46060,1.43940,1.45250,15446
2010.06.10,00:00,1.45270,1.47160,1.45080,1.47130,17574
2010.06.11,00:00,1.47140,1.47570,1.45030,1.45260,16679
2010.06.14,00:00,1.45760,1.48070,1.45490,1.47400,15520
2010.06.15,00:00,1.47380,1.48350,1.46810,1.48030,17426
2010.06.16,00:00,1.48010,1.48540,1.47250,1.47290,13958
2010.06.17,00:00,1.47300,1.48370,1.46440,1.48230,15074
2010.06.18,00:00,1.48210,1.48850,1.47700,1.48200,10869
2010.06.21,00:00,1.48530,1.49350,1.47370,1.47550,15242
2010.06.22,00:00,1.47540,1.48570,1.46860,1.48140,15836
2010.06.23,00:00,1.48130,1.49720,1.48010,1.49550,15187
2010.06.24,00:00,1.49540,1.50100,1.49140,1.49340,14997
2010.06.25,00:00,1.49350,1.50670,1.48550,1.50590,14379
2010.06.28,00:00,1.50560,1.51270,1.50160,1.51030,13086
2010.06.29,00:00,1.51020,1.51190,1.50110,1.50650,15580
2010.06.30,00:00,1.50640,1.50720,1.49340,1.49440,15269
2010.07.01,00:00,1.49430,1.51880,1.48720,1.51750,17135
2010.07.02,00:00,1.51740,1.52270,1.51480,1.51940,14165
2010.07.05,00:00,1.52030,1.52040,1.50880,1.51340,7518
2010.07.06,00:00,1.51330,1.52260,1.50800,1.51480,13112
2010.07.07,00:00,1.51490,1.52180,1.50800,1.51870,12614
2010.07.08,00:00,1.51860,1.52400,1.51010,1.51660,13923
2010.07.09,00:00,1.51650,1.52030,1.50490,1.50630,9895
2010.07.12,00:00,1.50790,1.50850,1.49470,1.50300,10729
2010.07.13,00:00,1.50290,1.51910,1.49640,1.51760,12425
2010.07.14,00:00,1.51750,1.52950,1.51700,1.52660,12676
