ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2010.04.29,00:00,1.00920,1.01110,1.00110,1.00490,6755
2010.04.30,00:00,1.00500,1.01760,1.00140,1.01550,7644
2010.05.03,00:00,1.01730,1.01840,1.00990,1.01050,5101
2010.05.04,00:00,1.01040,1.02550,1.01010,1.02460,8037
2010.05.05,00:00,1.02440,1.03530,1.02300,1.03050,9878
2010.05.06,00:00,1.03040,1.07420,1.02800,1.05130,18233
2010.05.07,00:00,1.05140,1.05690,1.03330,1.04370,22551
2010.05.10,00:00,1.03430,1.03910,1.02080,1.02290,15036
2010.05.11,00:00,1.02300,1.02860,1.01470,1.02180,12565
2010.05.12,00:00,1.02170,1.02450,1.01520,1.01900,10142
2010.05.13,00:00,1.01910,1.02060,1.01090,1.01930,9630
2010.05.14,00:00,1.01940,1.03760,1.01930,1.03150,11115
2010.05.17,00:00,1.03340,1.04370,1.03170,1.03240,13214
2010.05.18,00:00,1.03230,1.04090,1.02450,1.03910,13175
2010.05.19,00:00,1.03900,1.05360,1.03790,1.04360,19804
2010.05.20,00:00,1.04380,1.07180,1.04020,1.07000,19409
2010.05.21,00:00,1.07010,1.07480,1.05490,1.05920,22290
2010.05.24,00:00,1.06050,1.06590,1.05320,1.06240,16625
2010.05.25,00:00,1.06230,1.08530,1.06190,1.06730,18716
2010.05.26,00:00,1.06720,1.07430,1.05790,1.07080,15657
2010.05.27,00:00,1.07090,1.07170,1.04790,1.04790,15285
2010.05.28,00:00,1.04800,1.05390,1.04420,1.05160,13516
2010.05.31,00:00,1.05220,1.05510,1.04110,1.04430,6248
2010.06.01,00:00,1.04420,1.05600,1.04180,1.05500,15610
2010.06.02,00:00,1.05520,1.05700,1.03700,1.03810,14640
2010.06.03,00:00,1.03820,1.04600,1.03320,1.04000,12083
2010.06.04,00:00,1.04010,1.06240,1.03600,1.06040,13517
2010.06.07,00:00,1.06250,1.06780,1.05140,1.06140,15232
2010.06.08,00:00,1.06150,1.06160,1.04670,1.04730,14814
2010.06.09,00:00,1.04720,1.05140,1.03630,1.04430,11658
2010.06.10,00:00,1.04440,1.04510,1.02850,1.02950,12171
2010.06.11,00:00,1.02960,1.03870,1.02960,1.03360,11223
2010.06.14,00:00,1.03160,1.03470,1.02220,1.03360,10859
2010.06.15,00:00,1.03370,1.03590,1.02400,1.02510,11869
2010.06.16,00:00,1.02520,1.03210,1.02220,1.02410,9251
2010.06.17,00:00,1.02400,1.03360,1.02230,1.02780,10745
2010.06.18,00:00,1.02790,1.03110,1.02090,1.02110,8000
2010.06.21,00:00,1.01860,1.02590,1.01370,1.02400,9772
2010.06.22,00:00,1.02410,1.02940,1.01790,1.02940,9478
2010.06.23,00:00,1.02930,1.04580,1.02710,1.03950,11567
2010.06.24,00:00,1.03960,1.04680,1.03730,1.04280,9833
2010.06.25,00:00,1.04270,1.04410,1.03390,1.03550,10114
2010.06.28,00:00,1.03410,1.03700,1.03190,1.03560,8217
2010.06.29,00:00,1.03550,1.05750,1.03400,1.05570,12162
2010.06.30,00:00,1.05590,1.06460,1.04640,1.06370,12520
2010.07.01,00:00,1.06360,1.06720,1.05760,1.05940,15026
2010.07.02,00:00,1.05930,1.06670,1.05540,1.06220,12662
2010.07.05,00:00,1.06160,1.06750,1.05740,1.06310,6387
2010.07.06,00:00,1.06320,1.06760,1.04840,1.05430,10238
2010.07.07,00:00,1.05420,1.06040,1.04610,1.04640,9353
2010.07.08,00:00,1.04630,1.04850,1.03770,1.04180,9082
2010.07.09,00:00,1.04170,1.04530,1.02940,1.03340,7343
2010.07.12,00:00,1.03200,1.03840,1.02980,1.03700,7377
2010.07.13,00:00,1.03690,1.03840,1.02750,1.02970,8611
2010.07.14,00:00,1.02990,1.03690,1.02840,1.03240,8853
2010.07.15,00:00,1.03230,1.04410,1.02810,1.03800,10705
2010.07.16,00:00,1.03790,1.05560,1.03780,1.05450,9843
2010.07.19,00:00,1.05620,1.05790,1.04970,1.05470,9500
2010.07.20,00:00,1.05480,1.05840,1.04290,1.04340,10633
2010.07.21,00:00,1.04310,1.05000,1.03500,1.04890,10814
2010.07.22,00:00,1.04880,1.05010,1.03540,1.03690,10383
2010.07.23,00:00,1.03670,1.04280,1.03450,1.03580,10266
2010.07.26,00:00,1.03780,1.03840,1.03010,1.03200,7997
2010.07.27,00:00,1.03190,1.03930,1.02540,1.03520,8613
2010.07.28,00:00,1.03510,1.03890,1.02970,1.03850,9403
2010.07.29,00:00,1.03840,1.03900,1.03010,1.03690,8458
2010.07.30,00:00,1.03660,1.03740,1.02620,1.02810,9524
2010.08.02,00:00,1.02850,1.03030,1.02010,1.02250,7622
2010.08.03,00:00,1.02260,1.02700,1.02160,1.02310,7787
2010.08.04,00:00,1.02300,1.02680,1.01600,1.01780,7618
2010.08.05,00:00,1.01790,1.01840,1.01040,1.01630,7670
2010.08.06,00:00,1.01640,1.03020,1.01430,1.02750,7852
2010.08.09,00:00,1.02710,1.02960,1.02530,1.02670,6390
2010.08.10,00:00,1.02680,1.03850,1.02650,1.03110,8713
2010.08.11,00:00,1.03120,1.04700,1.03000,1.04600,9272
2010.08.12,00:00,1.04590,1.04900,1.04180,1.04200,8840
2010.08.13,00:00,1.04210,1.04350,1.03470,1.04110,7384
2010.08.16,00:00,1.04140,1.04610,1.03670,1.04310,8046
2010.08.17,00:00,1.04300,1.04360,1.03050,1.03170,11971
2010.08.18,00:00,1.03140,1.03380,1.02670,1.02910,7545
2010.08.19,00:00,1.02920,1.04120,1.02440,1.04000,8871
2010.08.20,00:00,1.04010,1.05110,1.03790,1.04840,7472
2010.08.23,00:00,1.04920,1.05260,1.04410,1.05180,7945
2010.08.24,00:00,1.05190,1.06610,1.05080,1.06110,11069
2010.08.25,00:00,1.06130,1.06650,1.05700,1.05930,10178
2010.08.26,00:00,1.05920,1.06030,1.05180,1.05750,8436
2010.08.27,00:00,1.05760,1.06460,1.05160,1.05200,9201
2010.08.30,00:00,1.04930,1.06010,1.04690,1.05940,6886
2010.08.31,00:00,1.05970,1.06690,1.05700,1.06530,10431
2010.09.01,00:00,1.06520,1.06540,1.04810,1.04950,8375
2010.09.02,00:00,1.04940,1.05520,1.04680,1.05200,7626
2010.09.03,00:00,1.05190,1.05650,1.03830,1.03900,7915
2010.09.06,00:00,1.03990,1.04010,1.03360,1.03510,4262
2010.09.07,00:00,1.03490,1.04780,1.03470,1.04760,8266
2010.09.08,00:00,1.04750,1.05060,1.03420,1.03710,8332
2010.09.09,00:00,1.03700,1.03910,1.02970,1.03340,7402
2010.09.10,00:00,1.03360,1.03700,1.02790,1.03470,8732
2010.09.13,00:00,1.03340,1.03430,1.02640,1.02700,6578
2010.09.14,00:00,1.02690,1.03050,1.02150,1.02740,8742
2010.09.15,00:00,1.02730,1.03190,1.02500,1.02610,8828
2010.09.16,00:00,1.02600,1.02880,1.02380,1.02640,8002
2010.09.17,00:00,1.02630,1.03490,1.02150,1.03120,7074
2010.09.20,00:00,1.03210,1.03450,1.02610,1.02810,6630
2010.09.21,00:00,1.02790,1.03300,1.02160,1.02670,9209
2010.09.22,00:00,1.02660,1.03580,1.01910,1.03060,10171
2010.09.23,00:00,1.03070,1.03790,1.02830,1.03420,8821
2010.09.24,00:00,1.03410,1.03540,1.02250,1.02530,8357
2010.09.27,00:00,1.02430,1.02960,1.02220,1.02910,7518
2010.09.28,00:00,1.02900,1.03610,1.02830,1.02950,9460
2010.09.29,00:00,1.02940,1.03400,1.02400,1.03240,8619
2010.09.30,00:00,1.03250,1.03440,1.02300,1.02910,10206
2010.10.01,00:00,1.02900,1.03120,1.01870,1.02000,8789
2010.10.04,00:00,1.01880,1.02430,1.01790,1.02370,7963
2010.10.05,00:00,1.02380,1.02720,1.01530,1.01560,8831
2010.10.06,00:00,1.01550,1.01650,1.00610,1.01090,8557
2010.10.07,00:00,1.01100,1.02110,1.00770,1.01730,8879
2010.10.08,00:00,1.01720,1.02310,1.01070,1.01100,8593
2010.10.11,00:00,1.01000,1.01480,1.00910,1.01360,5959
2010.10.12,00:00,1.01370,1.01810,1.00890,1.00990,8678
2010.10.13,00:00,1.00980,1.01040,1.00110,1.00320,7433
2010.10.14,00:00,1.00310,1.00730,0.99790,1.00380,8305
2010.10.15,00:00,1.00390,1.01380,1.00120,1.01170,10155
2010.10.18,00:00,1.01180,1.02270,1.01170,1.01700,9229
2010.10.19,00:00,1.01670,1.03720,1.01610,1.03310,11758
2010.10.20,00:00,1.03300,1.03480,1.02070,1.02080,10282
2010.10.21,00:00,1.02090,1.03010,1.01680,1.02650,11635
2010.10.22,00:00,1.02640,1.03010,1.02220,1.02680,8955
2010.10.25,00:00,1.02530,1.02670,1.01540,1.01970,8473
2010.10.26,00:00,1.01980,1.02650,1.01800,1.02370,8830
2010.10.27,00:00,1.02360,1.03380,1.02250,1.02790,10377
2010.10.28,00:00,1.02780,1.02850,1.01810,1.02090,9171
2010.10.29,00:00,1.02100,1.02470,1.01680,1.01990,8575
2010.11.01,00:00,1.01900,1.02020,1.01260,1.01500,8406
2010.11.02,00:00,1.01510,1.01630,1.00790,1.00790,8242
2010.11.03,00:00,1.00810,1.01560,1.00450,1.00510,10344
2010.11.04,00:00,1.00530,1.01190,1.00100,1.00200,8437
2010.11.05,00:00,1.00210,1.00830,0.99910,1.00020,8674
2010.11.08,00:00,1.00030,1.00550,0.99920,1.00330,8482
2010.11.09,00:00,1.00340,1.00920,0.99800,1.00790,9984
2010.11.10,00:00,1.00780,1.00900,0.99930,1.00070,12189
2010.11.11,00:00,1.00080,1.00710,0.99760,1.00330,9129
2010.11.12,00:00,1.00320,1.01450,1.00260,1.00890,12158
2010.11.15,00:00,1.01070,1.01380,1.00560,1.00950,8732
