ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2011.03.03,00:00,0.92350,0.93270,0.92320,0.93210,108200
2011.03.04,00:00,0.93200,0.93280,0.92230,0.92570,87146
2011.03.06,00:00,0.92510,0.92630,0.92500,0.92620,1663
2011.03.07,00:00,0.92620,0.92760,0.92360,0.92650,108570
2011.03.08,00:00,0.92640,0.93630,0.92600,0.93530,118403
2011.03.09,00:00,0.93530,0.93680,0.92670,0.92970,111077
2011.03.10,00:00,0.92980,0.93620,0.92790,0.93180,133161
2011.03.11,00:00,0.93190,0.93580,0.92670,0.92920,123533
2011.03.13,00:00,0.92780,0.92870,0.92560,0.92810,7153
2011.03.14,00:00,0.92810,0.93150,0.92280,0.92400,105835
2011.03.15,00:00,0.92400,0.92510,0.91390,0.91670,172195
2011.03.16,00:00,0.91680,0.91980,0.89180,0.90020,161727
2011.03.17,00:00,0.90020,0.90580,0.89590,0.89830,169136
2011.03.18,00:00,0.89830,0.90890,0.89730,0.90300,138238
2011.03.20,00:00,0.90050,0.90350,0.90050,0.90350,3458
2011.03.21,00:00,0.90350,0.90740,0.90290,0.90500,82460
2011.03.22,00:00,0.90510,0.90570,0.90120,0.90420,94031
2011.03.23,00:00,0.90410,0.90870,0.89780,0.90800,115734
2011.03.24,00:00,0.90800,0.91230,0.90280,0.90830,111415
2011.03.25,00:00,0.90830,0.92140,0.90770,0.92050,95917
2011.03.27,00:00,0.92060,0.92280,0.92010,0.92260,4503
2011.03.28,00:00,0.92260,0.92340,0.91510,0.91650,88736
2011.03.29,00:00,0.91640,0.92230,0.91380,0.91980,98447
2011.03.30,00:00,0.91980,0.92740,0.91740,0.91920,106803
2011.03.31,00:00,0.91920,0.91990,0.91250,0.91990,101180
2011.04.01,00:00,0.91990,0.93400,0.91860,0.92480,112128
2011.04.03,00:00,0.92360,0.92580,0.92350,0.92540,5387
2011.04.04,00:00,0.92540,0.92610,0.91900,0.92420,85571
2011.04.05,00:00,0.92420,0.92720,0.92040,0.92510,98586
2011.04.06,00:00,0.92510,0.92950,0.91290,0.91790,118170
2011.04.07,00:00,0.91790,0.91990,0.91520,0.91580,110071
2011.04.08,00:00,0.91580,0.91650,0.90900,0.90920,93594
2011.04.10,00:00,0.90750,0.90930,0.90750,0.90900,4223
2011.04.11,00:00,0.90900,0.91040,0.90460,0.90620,82267
2011.04.12,00:00,0.90620,0.90740,0.89410,0.89700,128957
2011.04.13,00:00,0.89710,0.89910,0.89280,0.89530,109280
2011.04.14,00:00,0.89520,0.89680,0.88950,0.89220,116816
2011.04.15,00:00,0.89230,0.89590,0.89140,0.89220,83693
2011.04.17,00:00,0.89240,0.89310,0.89180,0.89280,3303
