ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2011.02.28,00:00,81.620,81.980,81.610,81.880,79481
2011.03.01,00:00,81.870,82.230,81.780,81.900,82892
2011.03.02,00:00,81.900,82.100,81.560,81.830,65969
2011.03.03,00:00,81.830,82.510,81.710,82.360,76412
2011.03.04,00:00,82.360,83.050,82.200,82.300,78065
2011.03.06,00:00,82.340,82.350,82.190,82.340,2238
2011.03.07,00:00,82.340,82.380,81.940,82.280,127197
2011.03.08,00:00,82.290,82.850,82.200,82.810,114813
2011.03.09,00:00,82.810,82.920,82.560,82.840,117874
2011.03.10,00:00,82.840,83.160,82.690,82.910,125648
2011.03.11,00:00,82.910,83.280,81.640,81.880,140420
2011.03.13,00:00,81.720,81.890,80.520,81.510,19653
2011.03.14,00:00,81.510,82.450,81.200,81.700,161940
2011.03.15,00:00,81.710,82.030,80.600,80.810,206748
2011.03.16,00:00,80.810,81.160,76.300,78.470,205214
2011.03.17,00:00,78.470,79.730,78.240,79.190,256598
2011.03.18,00:00,79.200,81.980,79.080,80.760,237548
2011.03.20,00:00,80.760,81.020,80.720,81.020,6322
2011.03.21,00:00,81.020,81.310,80.810,81.220,87552
2011.03.22,00:00,81.220,81.220,80.840,81.040,91377
2011.03.23,00:00,81.030,81.060,80.690,80.860,97965
2011.03.24,00:00,80.870,81.050,80.760,81.020,77267
2011.03.25,00:00,81.020,81.500,80.860,81.470,75143
2011.03.27,00:00,81.390,81.600,81.290,81.570,4585
2011.03.28,00:00,81.570,81.830,81.500,81.710,71349
2011.03.29,00:00,81.710,82.520,81.530,82.490,70517
2011.03.30,00:00,82.490,83.200,82.400,83.130,103426
2011.03.31,00:00,83.130,83.430,82.550,83.410,100874
2011.04.01,00:00,83.410,84.720,83.340,84.090,105371
2011.04.03,00:00,84.140,84.370,84.090,84.160,7446
2011.04.04,00:00,84.160,84.480,83.850,84.350,78625
2011.04.05,00:00,84.350,85.230,84.150,84.970,99942
2011.04.06,00:00,84.970,85.520,84.830,85.440,112270
2011.04.07,00:00,85.430,85.470,84.580,84.880,126189
2011.04.08,00:00,84.880,85.390,84.660,84.830,88830
2011.04.10,00:00,84.810,85.150,84.800,85.120,5819
2011.04.11,00:00,85.120,85.130,84.360,84.450,91762
2011.04.12,00:00,84.440,84.560,83.450,83.740,155275
2011.04.13,00:00,83.740,84.250,83.560,83.720,117866
2011.04.14,00:00,83.730,83.820,82.940,83.660,131397
2011.04.15,00:00,83.660,83.740,82.950,83.070,88395
2011.04.17,00:00,83.190,83.250,83.000,83.080,4838
2011.04.18,00:00,83.080,83.190,82.170,82.470,119548
2011.04.19,00:00,82.470,82.870,82.350,82.760,101528
2011.04.20,00:00,82.760,83.090,82.240,82.480,103524
2011.04.21,00:00,82.490,82.490,81.590,81.860,102297
2011.04.22,00:00,81.860,82.110,81.660,81.930,34447
2011.04.24,00:00,81.800,82.040,81.780,82.020,3582
2011.04.25,00:00,82.020,82.410,81.620,81.660,59614
2011.04.26,00:00,81.660,81.960,81.250,81.370,85314
2011.04.27,00:00,81.370,82.780,81.330,82.240,112245
2011.04.28,00:00,82.240,82.250,81.390,81.600,110076
2011.04.29,00:00,81.600,81.610,81.030,81.100,54747
2011.05.01,00:00,81.130,81.340,81.070,81.220,6033
2011.05.02,00:00,81.220,81.680,80.990,81.230,80174
2011.05.03,00:00,81.230,81.230,80.690,81.030,83508
2011.05.04,00:00,81.030,81.180,80.420,80.600,86267
2011.05.05,00:00,80.600,80.650,79.560,80.310,133257
2011.05.06,00:00,80.310,80.940,80.190,80.540,143198
2011.05.08,00:00,80.620,80.840,80.600,80.790,6421
2011.05.09,00:00,80.780,80.820,80.140,80.160,98048
2011.05.10,00:00,80.160,81.080,80.160,80.960,100065
2011.05.11,00:00,80.970,81.320,80.610,81.030,116851
2011.05.12,00:00,81.030,81.330,80.700,81.000,100532
2011.05.13,00:00,81.000,81.080,80.330,80.800,98736
