ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume
2010.11.05,00:00,1391.40,1398.15,1373.50,1395.30,4541
2010.11.07,00:00,1395.40,1395.70,1393.00,1395.45,536
2010.11.08,00:00,1395.50,1410.50,1386.85,1405.75,3706
2010.11.09,00:00,1405.95,1424.50,1382.60,1396.35,7421
2010.11.10,00:00,1396.30,1410.15,1384.00,1401.10,4751
2010.11.11,00:00,1401.23,1417.75,1397.15,1407.06,3538
2010.11.12,00:00,1407.11,1407.41,1359.95,1368.98,5680
2010.11.14,00:00,1369.93,1371.17,1368.69,1370.43,447
2010.11.15,00:00,1370.45,1376.91,1355.85,1357.85,2953
2010.11.16,00:00,1357.90,1364.75,1329.70,1339.65,5186
2010.11.17,00:00,1339.70,1344.95,1330.85,1341.55,2636
2010.11.18,00:00,1341.60,1363.40,1340.75,1363.00,2391
2010.11.19,00:00,1362.95,1362.95,1341.60,1353.65,3341
2010.11.21,00:00,1358.48,1359.94,1357.72,1359.24,369
2010.11.22,00:00,1359.41,1367.85,1348.50,1363.71,3441
2010.11.23,00:00,1363.75,1382.55,1356.23,1371.65,4475
2010.11.24,00:00,1371.70,1381.50,1369.35,1374.20,2181
2010.11.25,00:00,1374.30,1375.10,1368.10,1374.80,1351
2010.11.26,00:00,1366.05,1370.50,1351.00,1359.10,3206
2010.11.28,00:00,1363.25,1364.21,1356.93,1357.33,865
2010.11.29,00:00,1357.22,1369.38,1353.18,1366.00,2363
2010.11.30,00:00,1366.01,1389.89,1362.80,1383.65,3655
2010.12.01,00:00,1383.85,1396.98,1381.98,1388.00,2586
2010.12.02,00:00,1388.06,1398.62,1383.05,1386.60,2969
2010.12.03,00:00,1386.70,1413.98,1385.68,1413.60,2971
2010.12.05,00:00,1414.52,1414.85,1410.12,1410.18,513
2010.12.06,00:00,1410.33,1427.54,1408.93,1421.45,2611
2010.12.07,00:00,1421.40,1431.28,1396.65,1400.50,4837
2010.12.08,00:00,1400.56,1403.45,1371.25,1384.05,4790
2010.12.09,00:00,1383.95,1394.60,1380.75,1386.70,2496
2010.12.10,00:00,1386.60,1392.25,1372.25,1386.11,3952
2010.12.12,00:00,1383.03,1384.55,1380.32,1380.52,596
2010.12.13,00:00,1380.55,1399.30,1380.10,1396.35,2261
2010.12.14,00:00,1396.30,1408.20,1391.85,1396.55,3246
2010.12.15,00:00,1396.65,1397.10,1378.50,1380.30,2086
2010.12.16,00:00,1380.35,1386.44,1361.15,1370.65,4089
2010.12.17,00:00,1370.55,1378.95,1364.80,1375.16,2370
2010.12.19,00:00,1377.50,1382.00,1376.55,1380.80,761
2010.12.20,00:00,1380.65,1388.20,1375.90,1385.55,1971
2010.12.21,00:00,1385.50,1392.15,1380.80,1386.40,2181
2010.12.22,00:00,1386.50,1391.05,1382.95,1386.50,1621
2010.12.23,00:00,1386.55,1388.35,1372.05,1379.60,2566
2010.12.24,00:00,1379.71,1385.21,1378.38,1384.66,621
2010.12.27,00:00,1379.25,1386.10,1377.80,1384.90,1096
2010.12.28,00:00,1384.95,1406.55,1384.35,1404.85,2451
2010.12.29,00:00,1404.80,1413.95,1401.05,1411.10,1951
2010.12.30,00:00,1411.25,1414.80,1403.00,1405.85,1821
2010.12.31,00:00,1405.80,1419.20,1405.75,1417.60,1511
2011.01.02,00:00,1418.00,1419.30,1416.20,1416.55,476
2011.01.03,00:00,1416.50,1423.95,1412.90,1414.85,2046
2011.01.04,00:00,1415.05,1417.25,1374.50,1384.35,5481
2011.01.05,00:00,1384.20,1384.85,1363.85,1375.75,3356
2011.01.06,00:00,1375.65,1379.80,1364.30,1370.55,2591
2011.01.07,00:00,1370.65,1378.85,1352.65,1368.85,5061
2011.01.09,00:00,1368.84,1373.00,1367.30,1370.15,1010
2011.01.10,00:00,1370.20,1376.15,1365.25,1374.90,1711
2011.01.11,00:00,1374.95,1386.65,1372.60,1381.75,2131
2011.01.12,00:00,1381.80,1388.85,1376.75,1386.45,1956
2011.01.13,00:00,1386.55,1393.10,1369.50,1375.70,3636
2011.01.14,00:00,1375.10,1378.10,1354.90,1359.70,3101
2011.01.16,00:00,1361.10,1364.70,1361.05,1363.95,446
2011.01.17,00:00,1363.90,1365.90,1357.15,1360.85,1446
2011.01.18,00:00,1360.95,1376.25,1360.90,1368.35,2331
2011.01.19,00:00,1368.30,1379.15,1367.25,1369.35,2276
2011.01.20,00:00,1369.45,1371.15,1343.45,1348.00,3396
2011.01.21,00:00,1348.10,1350.40,1337.60,1342.50,2001
2011.01.23,00:00,1343.60,1347.75,1343.40,1345.90,641
2011.01.24,00:00,1345.80,1353.35,1332.60,1338.05,3376
2011.01.25,00:00,1338.10,1338.60,1322.45,1331.20,2541
2011.01.26,00:00,1331.35,1346.60,1324.80,1343.20,3176
2011.01.27,00:00,1343.30,1347.90,1310.25,1314.85,4686
2011.01.28,00:00,1314.75,1347.05,1307.95,1335.60,5736
2011.01.30,00:00,1335.80,1345.90,1335.80,1344.45,1156
2011.01.31,00:00,1344.40,1346.05,1323.15,1332.75,3416
2011.02.01,00:00,1332.70,1344.80,1325.40,1342.20,2931
2011.02.02,00:00,1342.40,1343.00,1326.90,1334.85,2466
2011.02.03,00:00,1334.75,1355.80,1324.90,1352.15,4441
2011.02.04,00:00,1352.20,1358.95,1344.95,1348.95,2476
2011.02.06,00:00,1344.45,1344.75,1343.95,1344.70,136
2011.02.07,00:00,1344.75,1353.35,1344.75,1350.80,1116
2011.02.08,00:00,1350.70,1367.90,1348.40,1362.45,2726
2011.02.09,00:00,1362.25,1367.25,1358.00,1363.95,1681
2011.02.10,00:00,1364.10,1366.05,1350.90,1363.55,2976
2011.02.11,00:00,1363.60,1368.65,1354.10,1356.45,2196
2011.02.13,00:00,1357.35,1357.80,1355.10,1355.70,376
2011.02.14,00:00,1355.65,1366.75,1353.65,1361.70,2016
2011.02.15,00:00,1361.50,1376.60,1360.80,1371.65,2146
2011.02.16,00:00,1371.70,1381.85,1368.05,1375.65,2366
2011.02.17,00:00,1375.50,1385.10,1374.30,1383.55,1356
2011.02.18,00:00,1383.65,1392.00,1381.95,1387.60,1616
2011.02.20,00:00,1390.30,1391.60,1389.95,1390.95,266
2011.02.21,00:00,1395.05,1409.25,1394.15,1408.35,1691
2011.02.22,00:00,1408.40,1411.15,1392.80,1399.50,2781
2011.02.23,00:00,1399.40,1416.85,1395.60,1414.40,2751
2011.02.24,00:00,1414.45,1418.20,1392.20,1403.20,4076
2011.02.25,00:00,1403.15,1411.75,1399.90,1408.05,1881
2011.02.27,00:00,1409.15,1414.75,1407.70,1413.80,946
2011.02.28,00:00,1413.95,1416.15,1404.50,1410.65,2001
2011.03.01,00:00,1410.55,1434.70,1409.15,1433.40,2826
2011.03.02,00:00,1433.30,1440.15,1427.40,1432.90,2511
2011.03.03,00:00,1432.80,1435.95,1409.95,1414.40,3361
2011.03.04,00:00,1414.45,1431.90,1414.15,1428.25,2171
2011.03.06,00:00,1434.65,1437.85,1432.55,1435.25,1001
2011.03.07,00:00,1435.30,1444.85,1427.90,1431.45,3006
2011.03.08,00:00,1431.40,1436.55,1423.10,1427.85,2336
2011.03.09,00:00,1427.70,1436.05,1422.70,1429.20,2521
2011.03.10,00:00,1429.25,1431.25,1402.75,1411.95,3971
2011.03.11,00:00,1412.00,1423.70,1404.55,1416.40,3391
2011.03.13,00:00,1420.80,1432.75,1420.70,1430.20,1471
2011.03.14,00:00,1430.25,1430.60,1418.25,1426.20,2066
2011.03.15,00:00,1426.15,1427.70,1380.75,1393.90,6166
2011.03.16,00:00,1393.95,1406.00,1390.70,1391.70,2836
2011.03.17,00:00,1391.65,1408.00,1386.25,1405.90,2926
2011.03.18,00:00,1405.95,1423.75,1405.35,1418.55,2421
