,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2010.04.26,00:00,0.9258,0.9311,0.9252,0.9268,6192,,,,
1,2010.04.27,00:00,0.9266,0.9286,0.9134,0.9153,8975,,-0.011499999999999955,0.9268,-1.240828657747082
2,2010.04.28,00:00,0.9154,0.9266,0.9135,0.925,11085,,0.009700000000000042,0.9153,1.0597618267234832
3,2010.04.29,00:00,0.9252,0.9293,0.9221,0.9276,7500,,0.0025999999999999357,0.925,0.2810810810810741
4,2010.04.30,00:00,0.9277,0.9323,0.9245,0.9251,8017,0.9239599999999999,-0.0024999999999999467,0.9276,-0.2695127210004255
5,2010.05.03,00:00,0.9236,0.9274,0.9217,0.926,6024,0.9238,0.0009000000000000119,0.9251,0.09728677980758965
6,2010.05.04,00:00,0.9259,0.9272,0.9082,0.9087,10028,0.9224799999999999,-0.017300000000000093,0.926,-1.8682505399568134
7,2010.05.05,00:00,0.9088,0.9117,0.902,0.906,11574,0.9186799999999998,-0.0026999999999999247,0.9087,-0.29712776493891546
8,2010.05.06,00:00,0.9059,0.9092,0.8709,0.8847,18459,0.9100999999999999,-0.021299999999999986,0.906,-2.350993377483442
9,2010.05.07,00:00,0.8848,0.8937,0.8802,0.8862,24494,0.9023199999999999,0.0014999999999999458,0.8847,0.16954899966089587
10,2010.05.10,00:00,0.901,0.9077,0.8922,0.9026,14691,0.8976399999999998,0.01639999999999997,0.8862,1.8505980591288615
11,2010.05.11,00:00,0.9027,0.9035,0.8932,0.895,12561,0.8948999999999998,-0.00759999999999994,0.9026,-0.8420119654331865
12,2010.05.12,00:00,0.8951,0.8979,0.8888,0.8935,11077,0.8923999999999997,-0.0015000000000000568,0.895,-0.16759776536313484
13,2010.05.13,00:00,0.8933,0.9025,0.893,0.8962,10710,0.8946999999999999,0.0027000000000000357,0.8935,0.302182428651375
14,2010.05.14,00:00,0.8961,0.8973,0.885,0.8858,11165,0.89462,-0.010399999999999965,0.8962,-1.1604552555233167
15,2010.05.17,00:00,0.885,0.8861,0.8685,0.8773,14669,0.88956,-0.008500000000000063,0.8858,-0.9595845563332651
16,2010.05.18,00:00,0.8775,0.8788,0.8625,0.8642,14365,0.8834,-0.0131,0.8773,-1.4932178274250543
17,2010.05.19,00:00,0.8643,0.8645,0.8355,0.847,21151,0.8741,-0.017199999999999993,0.8642,-1.9902800277713486
18,2010.05.20,00:00,0.8469,0.8498,0.815,0.8171,22057,0.8582799999999999,-0.029899999999999927,0.847,-3.530106257378976
19,2010.05.21,00:00,0.8167,0.8365,0.8071,0.8315,26514,0.84742,0.014399999999999968,0.8171,1.7623301921429406
20,2010.05.24,00:00,0.8316,0.8357,0.8185,0.8264,17263,0.8372399999999999,-0.005099999999999993,0.8315,-0.6133493686109432
21,2010.05.25,00:00,0.8265,0.8277,0.8066,0.8276,18263,0.8299199999999999,0.0011999999999999789,0.8264,0.14520813165537014
22,2010.05.26,00:00,0.8275,0.8389,0.8188,0.8214,18892,0.8247999999999998,-0.006199999999999983,0.8276,-0.7491541807636519
23,2010.05.27,00:00,0.8213,0.8528,0.8201,0.8512,17709,0.8316199999999998,0.029799999999999938,0.8214,3.627952276600918
24,2010.05.28,00:00,0.8513,0.855,0.8428,0.8473,15350,0.8347799999999997,-0.0038999999999999035,0.8512,-0.458176691729312
25,2010.05.31,00:00,0.8455,0.8514,0.8381,0.8458,7936,0.8386599999999997,-0.0015000000000000568,0.8473,-0.1770329281246379
26,2010.06.01,00:00,0.8453,0.8476,0.8281,0.831,16256,0.8393399999999996,-0.014800000000000035,0.8458,-1.7498226531094863
27,2010.06.02,00:00,0.8308,0.8423,0.8275,0.8419,14400,0.8434399999999996,0.01090000000000002,0.831,1.3116726835138413
28,2010.06.03,00:00,0.8417,0.8521,0.8364,0.8447,12478,0.8421399999999994,0.0028000000000000247,0.8419,0.3325810666349952
29,2010.06.04,00:00,0.8448,0.8476,0.8212,0.8219,13824,0.8370599999999996,-0.022800000000000042,0.8447,-2.6991831419438905
30,2010.06.07,00:00,0.82,0.8227,0.8095,0.8102,17199,0.8299399999999997,-0.011699999999999933,0.8219,-1.4235308431682605
31,2010.06.08,00:00,0.8103,0.8284,0.8081,0.8276,16683,0.8292599999999997,0.01739999999999997,0.8102,2.1476178721303345
32,2010.06.09,00:00,0.8275,0.8356,0.8194,0.8277,13496,0.8264199999999997,9.999999999998899e-05,0.8276,0.012083131947799539
33,2010.06.10,00:00,0.8279,0.8508,0.8262,0.85,14635,0.8274799999999995,0.022299999999999986,0.8277,2.6942128790624604
34,2010.06.11,00:00,0.8499,0.8506,0.8425,0.8502,11416,0.8331399999999995,0.00019999999999997797,0.85,0.02352941176470329
35,2010.06.14,00:00,0.853,0.8666,0.8509,0.8586,11016,0.8428199999999995,0.008400000000000074,0.8502,0.9880028228652169
36,2010.06.15,00:00,0.8585,0.866,0.8505,0.8654,12988,0.8503799999999995,0.006799999999999917,0.8586,0.7919869555089584
37,2010.06.16,00:00,0.8653,0.8673,0.8581,0.8638,10656,0.8575999999999995,-0.0015999999999999348,0.8654,-0.1848856020337341
38,2010.06.17,00:00,0.8639,0.8686,0.8581,0.8685,11463,0.8612999999999996,0.0047000000000000375,0.8638,0.5441074322759941
39,2010.06.18,00:00,0.8686,0.8712,0.8651,0.8698,8374,0.8652199999999995,0.0012999999999999678,0.8685,0.14968336211859157
40,2010.06.21,00:00,0.8817,0.8858,0.8752,0.8763,12496,0.8687599999999994,0.00649999999999995,0.8698,0.7472982294780351
41,2010.06.22,00:00,0.8764,0.8831,0.8712,0.8714,12246,0.8699599999999995,-0.0049000000000000155,0.8763,-0.5591692342804994
42,2010.06.23,00:00,0.8716,0.878,0.866,0.8738,13241,0.8719599999999994,0.0024000000000000687,0.8714,0.27541886619234207
43,2010.06.24,00:00,0.8736,0.877,0.864,0.8665,11517,0.8715599999999994,-0.007299999999999973,0.8738,-0.835431448844126
44,2010.06.25,00:00,0.8666,0.8758,0.8595,0.875,11667,0.8725999999999996,0.008499999999999952,0.8665,0.9809578765147088
45,2010.06.28,00:00,0.8734,0.8775,0.8706,0.872,10071,0.8717399999999996,-0.0030000000000000027,0.875,-0.34285714285714314
46,2010.06.29,00:00,0.8719,0.872,0.8471,0.8485,12831,0.8671599999999998,-0.023499999999999965,0.872,-2.694954128440363
47,2010.06.30,00:00,0.8486,0.8565,0.8401,0.8406,12721,0.8605199999999998,-0.007900000000000018,0.8485,-0.9310548025928129
48,2010.07.01,00:00,0.8407,0.8448,0.8315,0.8433,14910,0.8558799999999998,0.0027000000000000357,0.8406,0.321199143468955
49,2010.07.02,00:00,0.8429,0.8509,0.8402,0.8425,12887,0.8493799999999998,-0.0008000000000000229,0.8433,-0.09486540969999085
50,2010.07.05,00:00,0.8418,0.8466,0.837,0.8392,6578,0.8428199999999999,-0.0033000000000000806,0.8425,-0.3916913946587633
51,2010.07.06,00:00,0.8393,0.8559,0.8316,0.8525,12553,0.8436199999999999,0.01330000000000009,0.8392,1.5848427073403348
52,2010.07.07,00:00,0.8526,0.8663,0.8449,0.8642,11546,0.84834,0.011699999999999933,0.8525,1.3724340175953
53,2010.07.08,00:00,0.8641,0.879,0.8621,0.8772,11652,0.85512,0.013000000000000012,0.8642,1.5042814163388118
54,2010.07.09,00:00,0.8773,0.878,0.8726,0.8772,8232,0.8620599999999999,0.0,0.8772,0.0
55,2010.07.12,00:00,0.8774,0.8779,0.8701,0.8758,8646,0.8693799999999999,-0.0013999999999999568,0.8772,-0.1595987232102094
56,2010.07.13,00:00,0.8757,0.884,0.8682,0.8831,11099,0.8755,0.007299999999999973,0.8758,0.8335236355332237
57,2010.07.14,00:00,0.8832,0.887,0.8784,0.8849,9890,0.8796399999999999,0.0018000000000000238,0.8831,0.20382742611256072
58,2010.07.15,00:00,0.8847,0.8854,0.8726,0.8844,12559,0.8810799999999999,-0.000500000000000056,0.8849,-0.05650355972426895
59,2010.07.16,00:00,0.8843,0.8845,0.8681,0.8695,11233,0.8795399999999999,-0.014899999999999913,0.8844,-1.6847580280416004
60,2010.07.19,00:00,0.8662,0.8718,0.8632,0.8683,10910,0.8780399999999998,-0.0012000000000000899,0.8695,-0.13801035077631854
61,2010.07.20,00:00,0.8682,0.8846,0.8666,0.8837,11754,0.8781599999999999,0.01540000000000008,0.8683,1.7735805597143937
