,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2010.04.23,00:00,1.5379,1.5397,1.5294,1.5377,14237,,,,
1,2010.04.26,00:00,1.5388,1.5497,1.5372,1.5457,11861,,0.008000000000000007,1.5377,0.5202575274761011
2,2010.04.27,00:00,1.5456,1.5483,1.5238,1.5263,14156,,-0.019400000000000084,1.5457,-1.2550947790645068
3,2010.04.28,00:00,1.5262,1.5287,1.5125,1.5208,15444,,-0.00550000000000006,1.5263,-0.3603485553298867
4,2010.04.29,00:00,1.5207,1.534,1.5141,1.5317,14167,1.5324399999999998,0.010900000000000132,1.5208,0.7167280378748114
5,2010.04.30,00:00,1.5318,1.539,1.5252,1.5294,13102,1.5307799999999998,-0.0022999999999999687,1.5317,-0.15015995299340398
6,2010.05.03,00:00,1.5328,1.533,1.521,1.5245,9510,1.52654,-0.0049000000000001265,1.5294,-0.3203870799006229
7,2010.05.04,00:00,1.5244,1.5264,1.5089,1.5142,15376,1.5241200000000001,-0.010299999999999976,1.5245,-0.6756313545424714
8,2010.05.05,00:00,1.5141,1.5171,1.5066,1.5099,15669,1.5219400000000003,-0.0042999999999999705,1.5142,-0.28397833839651104
9,2010.05.06,00:00,1.51,1.5146,1.4711,1.4827,25063,1.5121400000000003,-0.027200000000000113,1.5099,-1.8014438042254528
10,2010.05.07,00:00,1.4829,1.4936,1.4474,1.4818,39401,1.5026200000000005,-0.0008999999999999009,1.4827,-0.060700074188972886
11,2010.05.10,00:00,1.4877,1.5052,1.4757,1.4846,25993,1.4946400000000004,0.0027999999999999137,1.4818,0.18895937373464122
12,2010.05.11,00:00,1.4845,1.5002,1.4719,1.4954,24475,1.4908800000000004,0.010800000000000143,1.4846,0.7274686784319105
13,2010.05.12,00:00,1.4953,1.5043,1.4817,1.4821,22176,1.4853200000000004,-0.01330000000000009,1.4954,-0.8893941420355818
14,2010.05.13,00:00,1.4822,1.4916,1.4592,1.4612,16976,1.4810200000000004,-0.02089999999999992,1.4821,-1.4101612576749152
15,2010.05.14,00:00,1.4611,1.4638,1.4495,1.4535,18956,1.4753600000000007,-0.00770000000000004,1.4612,-0.5269641390637859
16,2010.05.17,00:00,1.4511,1.4545,1.4249,1.447,24548,1.4678400000000003,-0.00649999999999995,1.4535,-0.4471964224286171
17,2010.05.18,00:00,1.4471,1.452,1.4303,1.4332,22602,1.4554000000000002,-0.013800000000000034,1.447,-0.9536973047684889
18,2010.05.19,00:00,1.4333,1.4448,1.4237,1.4442,27644,1.4478200000000003,0.010999999999999899,1.4332,0.7675132570471601
19,2010.05.20,00:00,1.4443,1.4464,1.4229,1.4359,26559,1.4427600000000003,-0.008299999999999974,1.4442,-0.5747126436781591
20,2010.05.21,00:00,1.4362,1.4495,1.4316,1.4484,28795,1.44174,0.012499999999999956,1.4359,0.8705341597604259
21,2010.05.24,00:00,1.4461,1.4527,1.4351,1.4424,20034,1.44082,-0.006000000000000005,1.4484,-0.41425020712510396
22,2010.05.25,00:00,1.4423,1.4423,1.4258,1.4407,21794,1.44232,-0.0016999999999998128,1.4424,-0.117859123682738
23,2010.05.26,00:00,1.4408,1.4448,1.4329,1.4387,19871,1.44122,-0.0020000000000000018,1.4407,-0.13882140626084555
24,2010.05.27,00:00,1.4386,1.4606,1.4366,1.458,22887,1.4456399999999998,0.019299999999999873,1.4387,1.341488844095355
25,2010.05.28,00:00,1.4579,1.461,1.4433,1.4457,19621,1.4451,-0.012299999999999978,1.458,-0.8436213991769532
26,2010.05.31,00:00,1.4408,1.4547,1.4404,1.4536,9100,1.44734,0.007900000000000018,1.4457,0.5464480874316953
27,2010.06.01,00:00,1.4535,1.4722,1.4438,1.4649,20744,1.4521799999999998,0.011300000000000088,1.4536,0.7773802971931816
28,2010.06.02,00:00,1.4647,1.4769,1.4552,1.465,20662,1.4574399999999998,9.999999999998899e-05,1.4649,0.006826404532731857
29,2010.06.03,00:00,1.4651,1.4741,1.4585,1.4613,14621,1.4581,-0.0037000000000000366,1.465,-0.2525597269624598
30,2010.06.04,00:00,1.4611,1.468,1.4453,1.4472,16375,1.4584,-0.014100000000000001,1.4613,-0.9648942722233629
31,2010.06.07,00:00,1.441,1.4561,1.4387,1.4465,20412,1.4569800000000002,-0.000700000000000145,1.4472,-0.04836926478718525
32,2010.06.08,00:00,1.4467,1.4527,1.4345,1.4468,17228,1.45336,0.000300000000000189,1.4465,0.02073971655722012
33,2010.06.09,00:00,1.4469,1.4606,1.4394,1.4525,15446,1.45086,0.005699999999999816,1.4468,0.3939729057229621
