,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2010.04.27,00:00,0.723,0.7233,0.7096,0.7111,6228,,,,
1,2010.04.28,00:00,0.7112,0.7216,0.7102,0.7206,6819,,0.009500000000000064,0.7111,1.3359583743496084
2,2010.04.29,00:00,0.721,0.7241,0.715,0.7234,4943,,0.0028000000000000247,0.7206,0.38856508465168255
3,2010.04.30,00:00,0.7235,0.7324,0.723,0.7267,4798,,0.0032999999999999696,0.7234,0.4561791539950193
4,2010.05.03,00:00,0.7273,0.7322,0.7261,0.7305,3915,0.7224600000000001,0.0038000000000000256,0.7267,0.5229117930370202
5,2010.05.04,00:00,0.7306,0.7311,0.7186,0.7199,5846,0.7242200000000001,-0.010600000000000054,0.7305,-1.451060917180021
6,2010.05.05,00:00,0.72,0.7217,0.7141,0.7171,6704,0.72352,-0.0028000000000000247,0.7199,-0.38894290873732806
7,2010.05.06,00:00,0.717,0.7275,0.7007,0.7106,11316,0.7209600000000002,-0.00649999999999995,0.7171,-0.9064286710361108
8,2010.05.07,00:00,0.7105,0.7165,0.7037,0.7134,13469,0.7183000000000002,0.0028000000000000247,0.7106,0.39403321137067615
9,2010.05.10,00:00,0.7208,0.7295,0.7137,0.7225,7887,0.7167000000000001,0.009099999999999997,0.7134,1.2755817213344542
10,2010.05.11,00:00,0.7224,0.7225,0.7157,0.7161,6519,0.7159400000000001,-0.006400000000000072,0.7225,-0.8858131487889374
11,2010.05.12,00:00,0.716,0.7198,0.7103,0.713,6896,0.7151200000000002,-0.0030999999999999917,0.7161,-0.4329004329004318
12,2010.05.13,00:00,0.7129,0.7192,0.7125,0.7147,5141,0.7159400000000002,0.0017000000000000348,0.713,0.23842917251052384
13,2010.05.14,00:00,0.7148,0.7152,0.7059,0.7065,6228,0.7145600000000002,-0.008199999999999985,0.7147,-1.1473345459633393
14,2010.05.17,00:00,0.7064,0.7076,0.6914,0.6967,8954,0.7094000000000001,-0.009800000000000031,0.7065,-1.3871196036801177
15,2010.05.18,00:00,0.6966,0.7039,0.692,0.6935,8375,0.7048800000000002,-0.0031999999999999806,0.6967,-0.459308167073343
16,2010.05.19,00:00,0.6936,0.6939,0.6657,0.6775,12986,0.6977800000000002,-0.016000000000000014,0.6935,-2.3071377072819055
17,2010.05.20,00:00,0.6777,0.6875,0.6618,0.6659,13416,0.6880200000000001,-0.011599999999999944,0.6775,-1.7121771217712094
18,2010.05.21,00:00,0.6657,0.6817,0.6639,0.678,14312,0.6823200000000001,0.0121,0.6659,1.817089653101066
19,2010.05.24,00:00,0.6758,0.6786,0.6688,0.669,11060,0.6767800000000002,-0.009000000000000008,0.678,-1.3274336283185852
20,2010.05.25,00:00,0.6689,0.6724,0.656,0.67,10569,0.67208,0.0010000000000000009,0.669,0.14947683109118098
21,2010.05.26,00:00,0.6699,0.6741,0.6603,0.6628,9381,0.66914,-0.007200000000000095,0.67,-1.074626865671656
22,2010.05.27,00:00,0.6627,0.6858,0.6624,0.6835,9646,0.6726599999999998,0.02070000000000005,0.6628,3.1231140615570387
23,2010.05.28,00:00,0.6836,0.6861,0.6753,0.6785,7819,0.6727599999999999,-0.0050000000000000044,0.6835,-0.7315288953913686
24,2010.05.31,00:00,0.6777,0.6845,0.6708,0.6803,4105,0.6750199999999998,0.0018000000000000238,0.6785,0.26529108327192685
25,2010.06.01,00:00,0.6801,0.6837,0.6699,0.6747,9690,0.6759599999999999,-0.005600000000000049,0.6803,-0.8231662501837497
26,2010.06.02,00:00,0.6748,0.6821,0.6718,0.6814,8838,0.67968,0.006700000000000039,0.6747,0.9930339410108255
27,2010.06.03,00:00,0.6815,0.6898,0.6782,0.6844,7546,0.6798599999999999,0.0030000000000000027,0.6814,0.44027003228646944
28,2010.06.04,00:00,0.6845,0.6863,0.6681,0.6697,7478,0.6780999999999999,-0.014700000000000046,0.6844,-2.1478667445938115
29,2010.06.07,00:00,0.6685,0.6713,0.6579,0.6584,8768,0.67372,-0.011299999999999977,0.6697,-1.6873226817978166
30,2010.06.08,00:00,0.6585,0.6683,0.6571,0.667,8477,0.6721799999999999,0.008600000000000052,0.6584,1.3061968408262534
31,2010.06.09,00:00,0.6672,0.6746,0.661,0.6666,6998,0.6692199999999999,-0.00040000000000006697,0.667,-0.05997001499251379
32,2010.06.10,00:00,0.6669,0.6874,0.6666,0.6864,8316,0.6696199999999999,0.01980000000000004,0.6666,2.9702970297029765
33,2010.06.11,00:00,0.6863,0.6909,0.6801,0.6907,5819,0.6738199999999999,0.0042999999999999705,0.6864,0.6264568764568722
34,2010.06.14,00:00,0.6909,0.7018,0.6901,0.6945,5937,0.6810399999999999,0.0038000000000000256,0.6907,0.5501664977559035
35,2010.06.15,00:00,0.6946,0.6992,0.6884,0.6986,7565,0.68736,0.0040999999999999925,0.6945,0.5903527717782566
36,2010.06.16,00:00,0.6987,0.7001,0.6929,0.6977,5849,0.6935800000000001,-0.0009000000000000119,0.6986,-0.1288290867449201
37,2010.06.17,00:00,0.6976,0.7045,0.6947,0.7043,6412,0.69716,0.00660000000000005,0.6977,0.9459653146051383
38,2010.06.18,00:00,0.7042,0.7069,0.7017,0.7048,4773,0.6999799999999999,0.0004999999999999449,0.7043,0.07099247479766363
39,2010.06.21,00:00,0.7133,0.7151,0.7069,0.7079,6800,0.70266,0.0030999999999999917,0.7048,0.4398410896708274
40,2010.06.22,00:00,0.7078,0.7117,0.7038,0.7039,7241,0.70372,-0.0040000000000000036,0.7079,-0.5650515609549377
41,2010.06.23,00:00,0.704,0.7158,0.7025,0.7134,8860,0.70686,0.009500000000000064,0.7039,1.349623526069053
42,2010.06.24,00:00,0.7133,0.7142,0.7034,0.708,7359,0.7076,-0.005400000000000071,0.7134,-0.7569386038688073
43,2010.06.25,00:00,0.7081,0.7154,0.6993,0.7139,7297,0.7094199999999999,0.005900000000000016,0.708,0.8333333333333357
44,2010.06.28,00:00,0.7149,0.7154,0.7058,0.7081,6487,0.7094600000000001,-0.005800000000000027,0.7139,-0.8124387169071337
45,2010.06.29,00:00,0.7082,0.7084,0.6907,0.6917,8497,0.7070200000000002,-0.01639999999999997,0.7081,-2.3160570540884016
46,2010.06.30,00:00,0.6916,0.6953,0.684,0.6844,8279,0.7012200000000002,-0.007299999999999973,0.6917,-1.0553708255023815
47,2010.07.01,00:00,0.6843,0.6915,0.6793,0.6903,9783,0.6976800000000001,0.005900000000000016,0.6844,0.8620689655172438
48,2010.07.02,00:00,0.6905,0.697,0.6871,0.6891,7991,0.6927200000000001,-0.0011999999999999789,0.6903,-0.17383746197305214
49,2010.07.05,00:00,0.6882,0.6937,0.6853,0.6882,4423,0.6887400000000001,-0.0009000000000000119,0.6891,-0.1306051371353957
50,2010.07.06,00:00,0.6883,0.6972,0.6823,0.6937,6057,0.6891400000000001,0.005499999999999949,0.6882,0.7991862830572434
51,2010.07.07,00:00,0.6936,0.705,0.6885,0.7031,5889,0.69288,0.009399999999999964,0.6937,1.3550526164047807
52,2010.07.08,00:00,0.7029,0.7101,0.702,0.7091,5495,0.6966400000000001,0.006000000000000005,0.7031,0.8533636751528951
53,2010.07.09,00:00,0.7092,0.7112,0.7061,0.7104,4199,0.7009000000000002,0.0013000000000000789,0.7091,0.18333098293612735
54,2010.07.12,00:00,0.7107,0.7116,0.7055,0.7115,4001,0.7055600000000002,0.0010999999999999899,0.7104,0.1548423423423409
55,2010.07.13,00:00,0.7114,0.7205,0.7074,0.7193,6520,0.7106800000000003,0.007800000000000029,0.7115,1.096275474349969
56,2010.07.14,00:00,0.7194,0.7252,0.7158,0.724,5832,0.7148600000000004,0.0046999999999999265,0.7193,0.6534130404559886
57,2010.07.15,00:00,0.7239,0.7302,0.7172,0.7294,7546,0.7189200000000004,0.005400000000000071,0.724,0.7458563535911701
58,2010.07.16,00:00,0.7292,0.7292,0.7097,0.7109,7093,0.7190200000000004,-0.018500000000000072,0.7294,-2.5363312311488992
59,2010.07.19,00:00,0.7086,0.7112,0.7027,0.7057,7121,0.7178600000000005,-0.005199999999999982,0.7109,-0.7314671543114337
60,2010.07.20,00:00,0.7058,0.7174,0.7044,0.7168,7116,0.7173600000000004,0.011099999999999999,0.7057,1.5729063341363183
61,2010.07.21,00:00,0.7169,0.7193,0.7118,0.7122,6525,0.7150000000000004,-0.0045999999999999375,0.7168,-0.6417410714285627
62,2010.07.22,00:00,0.7123,0.7271,0.7095,0.7244,6586,0.7140000000000004,0.012199999999999989,0.7122,1.7130019657399589
63,2010.07.23,00:00,0.7245,0.7288,0.7224,0.7269,5968,0.7172000000000003,0.0024999999999999467,0.7244,0.3451131971286508
64,2010.07.26,00:00,0.7265,0.7352,0.7232,0.7336,5751,0.7227800000000002,0.006700000000000039,0.7269,0.92172238272115
65,2010.07.27,00:00,0.7335,0.7394,0.7311,0.7331,5875,0.7260400000000002,-0.000500000000000056,0.7336,-0.0681570338058964
66,2010.07.28,00:00,0.733,0.7338,0.7254,0.7271,7306,0.7290200000000002,-0.006000000000000005,0.7331,-0.8184422316191523
67,2010.07.29,00:00,0.7267,0.7285,0.72,0.7236,6965,0.7288600000000003,-0.0034999999999999476,0.7271,-0.48136432402694923
68,2010.07.30,00:00,0.7237,0.7266,0.719,0.7254,6179,0.7285600000000003,0.0018000000000000238,0.7236,0.24875621890547592
69,2010.08.02,00:00,0.7259,0.7338,0.7256,0.7325,5191,0.7283400000000004,0.007099999999999995,0.7254,0.9787703336090425
70,2010.08.03,00:00,0.7324,0.7353,0.7296,0.7339,5549,0.7285000000000005,0.0013999999999999568,0.7325,0.19112627986347533
71,2010.08.04,00:00,0.7333,0.7352,0.7294,0.7345,5781,0.7299800000000005,0.0006000000000000449,0.7339,0.08175500749421515
72,2010.08.05,00:00,0.7346,0.7353,0.7244,0.7304,6195,0.7313400000000005,-0.0040999999999999925,0.7345,-0.5582028590878138
73,2010.08.06,00:00,0.7301,0.7341,0.7268,0.7325,5310,0.7327600000000005,0.0020999999999999908,0.7304,0.2875136911281477
74,2010.08.09,00:00,0.7333,0.7338,0.7263,0.7287,4458,0.7320000000000005,-0.0038000000000000256,0.7325,-0.518771331058024
75,2010.08.10,00:00,0.7288,0.7289,0.7164,0.7238,7443,0.7299800000000005,-0.0049000000000000155,0.7287,-0.6724303554274756
76,2010.08.11,00:00,0.7235,0.7239,0.7139,0.7143,6654,0.7259400000000004,-0.009499999999999953,0.7238,-1.312517269964072
77,2010.08.12,00:00,0.7144,0.7157,0.7062,0.7085,7017,0.7215600000000004,-0.005800000000000027,0.7143,-0.8119837603247972
78,2010.08.13,00:00,0.7086,0.718,0.7049,0.705,5672,0.7160600000000004,-0.0035000000000000586,0.7085,-0.49400141143261234
