,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2010.04.29,00:00,1.0092,1.0111,1.0011,1.0049,6755,,,,
1,2010.04.30,00:00,1.005,1.0176,1.0014,1.0155,7644,,0.010600000000000165,1.0049,1.0548313265001659
2,2010.05.03,00:00,1.0173,1.0184,1.0099,1.0105,5101,,-0.0050000000000001155,1.0155,-0.4923682914820399
3,2010.05.04,00:00,1.0104,1.0255,1.0101,1.0246,8037,,0.014100000000000001,1.0105,1.3953488372093026
4,2010.05.05,00:00,1.0244,1.0353,1.023,1.0305,9878,1.0172,0.005900000000000016,1.0246,0.5758344719890706
5,2010.05.06,00:00,1.0304,1.0742,1.028,1.0513,18233,1.0264799999999998,0.02079999999999993,1.0305,2.0184376516254177
6,2010.05.07,00:00,1.0514,1.0569,1.0333,1.0437,22551,1.03212,-0.007599999999999829,1.0513,-0.7229144868258185
7,2010.05.10,00:00,1.0343,1.0391,1.0208,1.0229,15036,1.0346,-0.02080000000000015,1.0437,-1.9929098399923493
8,2010.05.11,00:00,1.023,1.0286,1.0147,1.0218,12565,1.0340399999999998,-0.0010999999999998789,1.0229,-0.10753739368461032
9,2010.05.12,00:00,1.0217,1.0245,1.0152,1.019,10142,1.0317399999999999,-0.0028000000000001357,1.0218,-0.2740262282247148
10,2010.05.13,00:00,1.0191,1.0206,1.0109,1.0193,9630,1.02534,0.000300000000000189,1.019,0.02944062806675064
11,2010.05.14,00:00,1.0194,1.0376,1.0193,1.0315,11115,1.0229,0.012199999999999989,1.0193,1.1968998332188745
12,2010.05.17,00:00,1.0334,1.0437,1.0317,1.0324,13214,1.0248,0.0008999999999999009,1.0315,0.08725157537565689
13,2010.05.18,00:00,1.0323,1.0409,1.0245,1.0391,13175,1.02826,0.006699999999999928,1.0324,0.6489732661758939
14,2010.05.19,00:00,1.039,1.0536,1.0379,1.0436,19804,1.0331800000000002,0.0045000000000001705,1.0391,0.43306707727843047
15,2010.05.20,00:00,1.0438,1.0718,1.0402,1.07,19409,1.04332,0.02639999999999998,1.0436,2.529704867765425
16,2010.05.21,00:00,1.0701,1.0748,1.0549,1.0592,22290,1.04886,-0.010800000000000143,1.07,-1.0093457943925366
17,2010.05.24,00:00,1.0605,1.0659,1.0532,1.0624,16625,1.0548600000000001,0.0032000000000000917,1.0592,0.30211480362538634
18,2010.05.25,00:00,1.0623,1.0853,1.0619,1.0673,18716,1.0605,0.004899999999999904,1.0624,0.4612198795180633
19,2010.05.26,00:00,1.0672,1.0743,1.0579,1.0708,15657,1.06594,0.0035000000000000586,1.0673,0.32793029138949303
20,2010.05.27,00:00,1.0709,1.0717,1.0479,1.0479,15285,1.0615200000000002,-0.02289999999999992,1.0708,-2.138587971610004
21,2010.05.28,00:00,1.048,1.0539,1.0442,1.0516,13516,1.0600000000000003,0.0037000000000000366,1.0479,0.3530871266342243
22,2010.05.31,00:00,1.0522,1.0551,1.0411,1.0443,6248,1.0563800000000003,-0.007300000000000084,1.0516,-0.6941802966907649
23,2010.06.01,00:00,1.0442,1.056,1.0418,1.055,15610,1.0539200000000002,0.010699999999999932,1.0443,1.024609786459823
24,2010.06.02,00:00,1.0552,1.057,1.037,1.0381,14640,1.04738,-0.016899999999999915,1.055,-1.6018957345971485
25,2010.06.03,00:00,1.0382,1.046,1.0332,1.04,12083,1.0458,0.0019000000000000128,1.0381,0.183026683363839
26,2010.06.04,00:00,1.0401,1.0624,1.036,1.0604,13517,1.04756,0.020399999999999974,1.04,1.961538461538459
27,2010.06.07,00:00,1.0625,1.0678,1.0514,1.0614,15232,1.05098,0.0009999999999998899,1.0604,0.09430403621273951
28,2010.06.08,00:00,1.0615,1.0616,1.0467,1.0473,14814,1.0494400000000002,-0.014100000000000001,1.0614,-1.328434143583946
29,2010.06.09,00:00,1.0472,1.0514,1.0363,1.0443,11658,1.05068,-0.0029999999999998916,1.0473,-0.28645087367515437
30,2010.06.10,00:00,1.0444,1.0451,1.0285,1.0295,12171,1.0485799999999998,-0.014799999999999924,1.0443,-1.4172172747294767
31,2010.06.11,00:00,1.0296,1.0387,1.0296,1.0336,11223,1.0432199999999998,0.0040999999999999925,1.0295,0.3982515784361333
32,2010.06.14,00:00,1.0316,1.0347,1.0222,1.0336,10859,1.0376599999999998,0.0,1.0336,0.0
33,2010.06.15,00:00,1.0337,1.0359,1.024,1.0251,11869,1.0332199999999998,-0.008500000000000174,1.0336,-0.8223684210526484
34,2010.06.16,00:00,1.0252,1.0321,1.0222,1.0241,9251,1.0291799999999998,-0.0009999999999998899,1.0251,-0.09755145839429226
35,2010.06.17,00:00,1.024,1.0336,1.0223,1.0278,10745,1.02884,0.0037000000000000366,1.0241,0.3612928424958536
36,2010.06.18,00:00,1.0279,1.0311,1.0209,1.0211,8000,1.0263399999999998,-0.00670000000000015,1.0278,-0.6518777972368311
37,2010.06.21,00:00,1.0186,1.0259,1.0137,1.024,9772,1.0244199999999999,0.0029000000000001247,1.0211,0.2840074429536896
38,2010.06.22,00:00,1.0241,1.0294,1.0179,1.0294,9478,1.02528,0.005400000000000071,1.024,0.527343750000007
39,2010.06.23,00:00,1.0293,1.0458,1.0271,1.0395,11567,1.02836,0.010099999999999998,1.0294,0.9811540703322321
40,2010.06.24,00:00,1.0396,1.0468,1.0373,1.0428,9833,1.0313599999999998,0.0032999999999998586,1.0395,0.31746031746030384
41,2010.06.25,00:00,1.0427,1.0441,1.0339,1.0355,10114,1.03424,-0.007299999999999862,1.0428,-0.7000383582661932
42,2010.06.28,00:00,1.0341,1.037,1.0319,1.0356,8217,1.03656,9.999999999998899e-05,1.0355,0.009657170449057362
43,2010.06.29,00:00,1.0355,1.0575,1.034,1.0557,12162,1.04182,0.020100000000000007,1.0356,1.9409038238702208
44,2010.06.30,00:00,1.0559,1.0646,1.0464,1.0637,12520,1.0466599999999997,0.008000000000000007,1.0557,0.757791039120963
45,2010.07.01,00:00,1.0636,1.0672,1.0576,1.0594,15026,1.04998,-0.0043000000000001926,1.0637,-0.4042493184168649
46,2010.07.02,00:00,1.0593,1.0667,1.0554,1.0622,12662,1.0553199999999998,0.0028000000000001357,1.0594,0.2643005474797183
47,2010.07.05,00:00,1.0616,1.0675,1.0574,1.0631,6387,1.0608199999999997,0.0008999999999999009,1.0622,0.08472980606287901
48,2010.07.06,00:00,1.0632,1.0676,1.0484,1.0543,10238,1.0605399999999996,-0.008799999999999919,1.0631,-0.8277678487442309
49,2010.07.07,00:00,1.0542,1.0604,1.0461,1.0464,9353,1.0570799999999996,-0.007900000000000018,1.0543,-0.749312339941195
50,2010.07.08,00:00,1.0463,1.0485,1.0377,1.0418,9082,1.0535599999999996,-0.0045999999999999375,1.0464,-0.4396024464831745
51,2010.07.09,00:00,1.0417,1.0453,1.0294,1.0334,7343,1.0477999999999998,-0.008399999999999963,1.0418,-0.806296794010363
52,2010.07.12,00:00,1.032,1.0384,1.0298,1.037,7377,1.0425799999999998,0.0035999999999998256,1.0334,0.3483646216372968
53,2010.07.13,00:00,1.0369,1.0384,1.0275,1.0297,8611,1.03766,-0.007299999999999862,1.037,-0.7039537126325808
54,2010.07.14,00:00,1.0299,1.0369,1.0284,1.0324,8853,1.03486,0.0026999999999999247,1.0297,0.2622122948431509
55,2010.07.15,00:00,1.0323,1.0441,1.0281,1.038,10705,1.0341,0.005600000000000049,1.0324,0.5424254165052353
56,2010.07.16,00:00,1.0379,1.0556,1.0378,1.0545,9843,1.03832,0.01649999999999996,1.038,1.5895953757225394
57,2010.07.19,00:00,1.0562,1.0579,1.0497,1.0547,9500,1.04186,0.00019999999999997797,1.0545,0.018966334755806353
58,2010.07.20,00:00,1.0548,1.0584,1.0429,1.0434,10633,1.0446,-0.011299999999999866,1.0547,-1.071394709396024
59,2010.07.21,00:00,1.0431,1.05,1.035,1.0489,10814,1.0478999999999998,0.005499999999999838,1.0434,0.5271228675483839
60,2010.07.22,00:00,1.0488,1.0501,1.0354,1.0369,10383,1.04768,-0.01200000000000001,1.0489,-1.1440556773763
61,2010.07.23,00:00,1.0367,1.0428,1.0345,1.0358,10266,1.0439399999999999,-0.0010999999999998789,1.0369,-0.10608544700548547
62,2010.07.26,00:00,1.0378,1.0384,1.0301,1.032,7997,1.0393999999999999,-0.0038000000000000256,1.0358,-0.3668661903842465
63,2010.07.27,00:00,1.0319,1.0393,1.0254,1.0352,8613,1.0377599999999998,0.0031999999999998696,1.032,0.3100775193798323
64,2010.07.28,00:00,1.0351,1.0389,1.0297,1.0385,9403,1.0356799999999997,0.0033000000000000806,1.0352,0.3187789799072721
