,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2011.03.03,00:00,0.9235,0.9327,0.9232,0.9321,108200,,,,
1,2011.03.04,00:00,0.932,0.9328,0.9223,0.9257,87146,,-0.006400000000000072,0.9321,-0.6866216071237069
2,2011.03.06,00:00,0.9251,0.9263,0.925,0.9262,1663,,0.000500000000000056,0.9257,0.05401317921573468
3,2011.03.07,00:00,0.9262,0.9276,0.9236,0.9265,108570,,0.00029999999999996696,0.9262,0.03239041243791481
4,2011.03.08,00:00,0.9264,0.9363,0.926,0.9353,118403,0.9291600000000001,0.00880000000000003,0.9265,0.9498111171073966
5,2011.03.09,00:00,0.9353,0.9368,0.9267,0.9297,111077,0.92868,-0.005600000000000049,0.9353,-0.5987383727146423
6,2011.03.10,00:00,0.9298,0.9362,0.9279,0.9318,133161,0.9299,0.0020999999999999908,0.9297,0.22587931590835655
7,2011.03.11,00:00,0.9319,0.9358,0.9267,0.9292,123533,0.9305,-0.0025999999999999357,0.9318,-0.2790298347284756
8,2011.03.13,00:00,0.9278,0.9287,0.9256,0.9281,7153,0.93082,-0.0010999999999999899,0.9292,-0.11838140335772598
9,2011.03.14,00:00,0.9281,0.9315,0.9228,0.924,105835,0.92856,-0.0040999999999999925,0.9281,-0.4417627410839341
10,2011.03.15,00:00,0.924,0.9251,0.9139,0.9167,172195,0.9259599999999999,-0.007300000000000084,0.924,-0.7900432900432991
11,2011.03.16,00:00,0.9168,0.9198,0.8918,0.9002,161727,0.9196399999999999,-0.01649999999999996,0.9167,-1.7999345478346198
12,2011.03.17,00:00,0.9002,0.9058,0.8959,0.8983,169136,0.9134599999999999,-0.0019000000000000128,0.9002,-0.21106420795378947
13,2011.03.18,00:00,0.8983,0.9089,0.8973,0.903,138238,0.90844,0.0047000000000000375,0.8983,0.5232105087387329
14,2011.03.20,00:00,0.9005,0.9035,0.9005,0.9035,3458,0.90434,0.0004999999999999449,0.903,0.05537098560353764
15,2011.03.21,00:00,0.9035,0.9074,0.9029,0.905,82460,0.9020000000000001,0.0015000000000000568,0.9035,0.16602102933038815
16,2011.03.22,00:00,0.9051,0.9057,0.9012,0.9042,94031,0.9028000000000003,-0.0008000000000000229,0.905,-0.08839779005525115
17,2011.03.23,00:00,0.9041,0.9087,0.8978,0.908,115734,0.9047400000000003,0.0038000000000000256,0.9042,0.42026100420261286
18,2011.03.24,00:00,0.908,0.9123,0.9028,0.9083,111415,0.9058000000000004,0.00029999999999996696,0.908,0.03303964757708887
19,2011.03.25,00:00,0.9083,0.9214,0.9077,0.9205,95917,0.9092000000000002,0.012199999999999989,0.9083,1.3431685566442793
20,2011.03.27,00:00,0.9206,0.9228,0.9201,0.9226,4503,0.9127200000000002,0.0020999999999999908,0.9205,0.22813688212927657
21,2011.03.28,00:00,0.9226,0.9234,0.9151,0.9165,88736,0.9151800000000001,-0.006099999999999994,0.9226,-0.6611749403858654
22,2011.03.29,00:00,0.9164,0.9223,0.9138,0.9198,98447,0.9175400000000001,0.0032999999999999696,0.9165,0.36006546644844184
23,2011.03.30,00:00,0.9198,0.9274,0.9174,0.9192,106803,0.9197200000000002,-0.0005999999999999339,0.9198,-0.06523157208087997
24,2011.03.31,00:00,0.9192,0.9199,0.9125,0.9199,101180,0.9196000000000003,0.0007000000000000339,0.9192,0.07615317667537358
25,2011.04.01,00:00,0.9199,0.934,0.9186,0.9248,112128,0.9200400000000004,0.004899999999999904,0.9199,0.5326665941950108
26,2011.04.03,00:00,0.9236,0.9258,0.9235,0.9254,5387,0.9218200000000003,0.0006000000000000449,0.9248,0.06487889273356888
27,2011.04.04,00:00,0.9254,0.9261,0.919,0.9242,85571,0.9227000000000004,-0.0011999999999999789,0.9254,-0.12967365463583086
28,2011.04.05,00:00,0.9242,0.9272,0.9204,0.9251,98586,0.9238800000000005,0.0009000000000000119,0.9242,0.09738151915170006
29,2011.04.06,00:00,0.9251,0.9295,0.9129,0.9179,118170,0.9234800000000005,-0.007199999999999984,0.9251,-0.7782942384607052
30,2011.04.07,00:00,0.9179,0.9199,0.9152,0.9158,110071,0.9216800000000005,-0.002100000000000102,0.9179,-0.2287830918400808
31,2011.04.08,00:00,0.9158,0.9165,0.909,0.9092,93594,0.9184400000000006,-0.006599999999999939,0.9158,-0.7206813714784822
32,2011.04.10,00:00,0.9075,0.9093,0.9075,0.909,4223,0.9154000000000005,-0.00019999999999997797,0.9092,-0.021997360316759567
33,2011.04.11,00:00,0.909,0.9104,0.9046,0.9062,82267,0.9116200000000007,-0.0028000000000000247,0.909,-0.3080308030803107
34,2011.04.12,00:00,0.9062,0.9074,0.8941,0.897,128957,0.9074400000000006,-0.009199999999999986,0.9062,-1.0152284263959375
35,2011.04.13,00:00,0.8971,0.8991,0.8928,0.8953,109280,0.9033400000000006,-0.0017000000000000348,0.897,-0.18952062430323688
36,2011.04.14,00:00,0.8952,0.8968,0.8895,0.8922,116816,0.8999400000000005,-0.0030999999999999917,0.8953,-0.3462526527420967
37,2011.04.15,00:00,0.8923,0.8959,0.8914,0.8922,83693,0.8965800000000005,0.0,0.8922,0.0
38,2011.04.17,00:00,0.8924,0.8931,0.8918,0.8928,3303,0.8939000000000006,0.0006000000000000449,0.8922,0.06724949562878782
39,2011.04.18,00:00,0.8928,0.9,0.8904,0.8956,124127,0.8936200000000005,0.0027999999999999137,0.8928,0.3136200716845781
40,2011.04.19,00:00,0.8955,0.9015,0.8944,0.8991,104786,0.8943800000000005,0.0035000000000000586,0.8956,0.3907994640464559
41,2011.04.20,00:00,0.8991,0.8996,0.8873,0.8885,126214,0.8936400000000004,-0.010600000000000054,0.8991,-1.178956734512296
42,2011.04.21,00:00,0.8886,0.8888,0.878,0.886,110529,0.8924000000000005,-0.0024999999999999467,0.8885,-0.2813731007315641
43,2011.04.22,00:00,0.8859,0.8877,0.8844,0.8855,19441,0.8909400000000003,-0.000500000000000056,0.886,-0.05643340857788442
44,2011.04.24,00:00,0.8842,0.8862,0.8836,0.8837,3135,0.8885600000000003,-0.0017999999999999128,0.8855,-0.2032749858836717
45,2011.04.25,00:00,0.8837,0.8872,0.8769,0.8813,41605,0.8850000000000003,-0.0024000000000000687,0.8837,-0.2715853796537364
