,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2011.02.28,00:00,81.62,81.98,81.61,81.88,79481,,,,
1,2011.03.01,00:00,81.87,82.23,81.78,81.9,82892,,0.020000000000010232,81.88,0.024425989252577225
2,2011.03.02,00:00,81.9,82.1,81.56,81.83,65969,,-0.07000000000000739,81.9,-0.08547008547009449
3,2011.03.03,00:00,81.83,82.51,81.71,82.36,76412,,0.5300000000000011,81.83,0.6476842233899562
4,2011.03.04,00:00,82.36,83.05,82.2,82.3,78065,82.054,-0.060000000000002274,82.36,-0.07285089849441753
5,2011.03.06,00:00,82.34,82.35,82.19,82.34,2238,82.146,0.04000000000000625,82.3,0.048602673147030685
6,2011.03.07,00:00,82.34,82.38,81.94,82.28,127197,82.22200000000001,-0.060000000000002274,82.34,-0.07286859363614558
7,2011.03.08,00:00,82.29,82.85,82.2,82.81,114813,82.418,0.5300000000000011,82.28,0.6441419543023835
8,2011.03.09,00:00,82.81,82.92,82.56,82.84,117874,82.51400000000001,0.030000000000001137,82.81,0.03622750875498265
9,2011.03.10,00:00,82.84,83.16,82.69,82.91,125648,82.636,0.06999999999999318,82.84,0.08450024142925298
10,2011.03.11,00:00,82.91,83.28,81.64,81.88,140420,82.54400000000001,-1.0300000000000011,82.91,-1.2423109395730325
11,2011.03.13,00:00,81.72,81.89,80.52,81.51,19653,82.39000000000001,-0.36999999999999034,81.88,-0.45188080117243573
12,2011.03.14,00:00,81.51,82.45,81.2,81.7,161940,82.168,0.18999999999999773,81.51,0.2331002331002303
13,2011.03.15,00:00,81.71,82.03,80.6,80.81,206748,81.76200000000001,-0.8900000000000006,81.7,-1.0893512851897191
14,2011.03.16,00:00,80.81,81.16,76.3,78.47,205214,80.87400000000002,-2.3400000000000034,80.81,-2.8956812275708494
15,2011.03.17,00:00,78.47,79.73,78.24,79.19,256598,80.33600000000003,0.7199999999999989,78.47,0.9175481075570268
16,2011.03.18,00:00,79.2,81.98,79.08,80.76,237548,80.18600000000002,1.5700000000000074,79.19,1.982573557267341
17,2011.03.20,00:00,80.76,81.02,80.72,81.02,6322,80.05000000000003,0.2599999999999909,80.76,0.3219415552253478
18,2011.03.21,00:00,81.02,81.31,80.81,81.22,87552,80.13200000000003,0.20000000000000284,81.02,0.24685262898050217
19,2011.03.22,00:00,81.22,81.22,80.84,81.04,91377,80.64600000000003,-0.1799999999999926,81.22,-0.22162029056881632
20,2011.03.23,00:00,81.03,81.06,80.69,80.86,97965,80.98000000000003,-0.18000000000000682,81.04,-0.22211253701876457
21,2011.03.24,00:00,80.87,81.05,80.76,81.02,77267,81.03200000000002,0.1599999999999966,80.86,0.19787286668315185
22,2011.03.25,00:00,81.02,81.5,80.86,81.47,75143,81.12200000000003,0.45000000000000284,81.02,0.5554184152061254
23,2011.03.27,00:00,81.39,81.6,81.29,81.57,4585,81.19200000000004,0.09999999999999432,81.47,0.12274456855283457
24,2011.03.28,00:00,81.57,81.83,81.5,81.71,71349,81.32600000000002,0.14000000000000057,81.57,0.17163172735074242
25,2011.03.29,00:00,81.71,82.52,81.53,82.49,70517,81.65200000000002,0.7800000000000011,81.71,0.9545955207440965
26,2011.03.30,00:00,82.49,83.2,82.4,83.13,103426,82.07400000000003,0.6400000000000006,82.49,0.775851618377986
27,2011.03.31,00:00,83.13,83.43,82.55,83.41,100874,82.46200000000002,0.28000000000000114,83.13,0.33682184530253956
28,2011.04.01,00:00,83.41,84.72,83.34,84.09,105371,82.96600000000002,0.6800000000000068,83.41,0.8152499700275828
29,2011.04.03,00:00,84.14,84.37,84.09,84.16,7446,83.45600000000003,0.06999999999999318,84.09,0.08324414317991816
30,2011.04.04,00:00,84.16,84.48,83.85,84.35,78625,83.82800000000002,0.18999999999999773,84.16,0.22576045627376157
31,2011.04.05,00:00,84.35,85.23,84.15,84.97,99942,84.19600000000003,0.6200000000000045,84.35,0.7350326022525248
32,2011.04.06,00:00,84.97,85.52,84.83,85.44,112270,84.60200000000002,0.46999999999999886,84.97,0.5531364010827338
33,2011.04.07,00:00,85.43,85.47,84.58,84.88,126189,84.76000000000002,-0.5600000000000023,85.44,-0.6554307116104896
34,2011.04.08,00:00,84.88,85.39,84.66,84.83,88830,84.894,-0.04999999999999716,84.88,-0.05890669180018516
35,2011.04.10,00:00,84.81,85.15,84.8,85.12,5819,85.048,0.29000000000000625,84.83,0.341860190970183
36,2011.04.11,00:00,85.12,85.13,84.36,84.45,91762,84.944,-0.6700000000000017,85.12,-0.787124060150378
37,2011.04.12,00:00,84.44,84.56,83.45,83.74,155275,84.60400000000001,-0.710000000000008,84.45,-0.8407341622261787
38,2011.04.13,00:00,83.74,84.25,83.56,83.72,117866,84.372,-0.01999999999999602,83.74,-0.023883448769997637
39,2011.04.14,00:00,83.73,83.82,82.94,83.66,131397,84.138,-0.060000000000002274,83.72,-0.07166746297181352
40,2011.04.15,00:00,83.66,83.74,82.95,83.07,88395,83.728,-0.5900000000000034,83.66,-0.7052354769304368
41,2011.04.17,00:00,83.19,83.25,83.0,83.08,4838,83.454,0.010000000000005116,83.07,0.01203804020706045
42,2011.04.18,00:00,83.08,83.19,82.17,82.47,119548,83.2,-0.6099999999999994,83.08,-0.7342320654790556
43,2011.04.19,00:00,82.47,82.87,82.35,82.76,101528,83.008,0.29000000000000625,82.47,0.35164302170486994
44,2011.04.20,00:00,82.76,83.09,82.24,82.48,103524,82.772,-0.28000000000000114,82.76,-0.3383276945384257
45,2011.04.21,00:00,82.49,82.49,81.59,81.86,102297,82.53,-0.6200000000000045,82.48,-0.7516973811833226
46,2011.04.22,00:00,81.86,82.11,81.66,81.93,34447,82.30000000000001,0.07000000000000739,81.86,0.08551184949915391
47,2011.04.24,00:00,81.8,82.04,81.78,82.02,3582,82.21000000000001,0.0899999999999892,81.93,0.10984987184180299
48,2011.04.25,00:00,82.02,82.41,81.62,81.66,59614,81.99000000000001,-0.35999999999999943,82.02,-0.4389173372348201
49,2011.04.26,00:00,81.66,81.96,81.25,81.37,85314,81.768,-0.28999999999999204,81.66,-0.3551310311045702
50,2011.04.27,00:00,81.37,82.78,81.33,82.24,112245,81.84400000000001,0.8699999999999903,81.37,1.0691901192085416
51,2011.04.28,00:00,82.24,82.25,81.39,81.6,110076,81.778,-0.6400000000000006,82.24,-0.7782101167315183
52,2011.04.29,00:00,81.6,81.61,81.03,81.1,54747,81.59400000000001,-0.5,81.6,-0.6127450980392157
53,2011.05.01,00:00,81.13,81.34,81.07,81.22,6033,81.50600000000001,0.12000000000000455,81.1,0.14796547472257035
54,2011.05.02,00:00,81.22,81.68,80.99,81.23,80174,81.47800000000002,0.010000000000005116,81.22,0.012312238364941044
55,2011.05.03,00:00,81.23,81.23,80.69,81.03,83508,81.23600000000002,-0.20000000000000284,81.23,-0.24621445278838217
56,2011.05.04,00:00,81.03,81.18,80.42,80.6,86267,81.03600000000002,-0.4300000000000068,81.03,-0.5306676539553336
57,2011.05.05,00:00,80.6,80.65,79.56,80.31,133257,80.87800000000001,-0.28999999999999204,80.6,-0.359801488833737
58,2011.05.06,00:00,80.31,80.94,80.19,80.54,143198,80.74200000000003,0.23000000000000398,80.31,0.2863902378284198
59,2011.05.08,00:00,80.62,80.84,80.6,80.79,6421,80.65400000000002,0.25,80.54,0.31040476781723364
60,2011.05.09,00:00,80.78,80.82,80.14,80.16,98048,80.48000000000005,-0.6300000000000097,80.79,-0.7797994801336918
61,2011.05.10,00:00,80.16,81.08,80.16,80.96,100065,80.55200000000005,0.7999999999999972,80.16,0.9980039920159646
62,2011.05.11,00:00,80.97,81.32,80.61,81.03,116851,80.69600000000004,0.07000000000000739,80.96,0.08646245059289451
63,2011.05.12,00:00,81.03,81.33,80.7,81.0,100532,80.78800000000004,-0.030000000000001137,81.03,-0.037023324694558976
