,ftimed,ftimeh,fopen,fhigh,flow,fclose,fvolume,ma5,price_change,shift,p_change
0,2010.11.05,00:00,1391.4,1398.15,1373.5,1395.3,4541,,,,
1,2010.11.07,00:00,1395.4,1395.7,1393.0,1395.45,536,,0.15000000000009095,1395.3,0.01075037626317573
2,2010.11.08,00:00,1395.5,1410.5,1386.85,1405.75,3706,,10.299999999999955,1395.45,0.7381131534630373
3,2010.11.09,00:00,1405.95,1424.5,1382.6,1396.35,7421,,-9.400000000000091,1405.75,-0.6686821981148917
4,2010.11.10,00:00,1396.3,1410.15,1384.0,1401.1,4751,1398.7900000000002,4.75,1396.35,0.34017259283131024
5,2010.11.11,00:00,1401.23,1417.75,1397.15,1407.06,3538,1401.142,5.960000000000036,1401.1,0.4253800585254469
6,2010.11.12,00:00,1407.11,1407.41,1359.95,1368.98,5680,1395.8480000000002,-38.07999999999993,1407.06,-2.706352252213831
7,2010.11.14,00:00,1369.93,1371.17,1368.69,1370.43,447,1388.784,1.4500000000000455,1368.98,0.10591827492001676
8,2010.11.15,00:00,1370.45,1376.91,1355.85,1357.85,2953,1381.084,-12.580000000000155,1370.43,-0.9179600563326952
9,2010.11.16,00:00,1357.9,1364.75,1329.7,1339.65,5186,1368.7939999999999,-18.199999999999818,1357.85,-1.3403542364767698
10,2010.11.17,00:00,1339.7,1344.95,1330.85,1341.55,2636,1355.6919999999998,1.8999999999998636,1339.65,0.14182808942633252
11,2010.11.18,00:00,1341.6,1363.4,1340.75,1363.0,2391,1354.4959999999999,21.450000000000045,1341.55,1.5988967984793743
12,2010.11.19,00:00,1362.95,1362.95,1341.6,1353.65,3341,1351.1399999999999,-9.349999999999909,1363.0,-0.6859867938371174
13,2010.11.21,00:00,1358.48,1359.94,1357.72,1359.24,369,1351.4179999999997,5.589999999999918,1353.65,0.41295755919180865
14,2010.11.22,00:00,1359.41,1367.85,1348.5,1363.71,3441,1356.2299999999996,4.470000000000027,1359.24,0.3288602454312724
15,2010.11.23,00:00,1363.75,1382.55,1356.23,1371.65,4475,1362.2499999999995,7.940000000000055,1363.71,0.5822352259644685
