date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-12-19,3985.82,4035.63,4035.33,3985.82,77528984.0,50.04,1.26,4015.544,4015.35,4040.523,80548348.8,87305252.8,110035318.0
2017-12-18,3983.3,4008.07,3985.29,3967.93,77853376.0,4.43,0.11,4011.682,4015.834,4049.642,81910296.0,94961061.6,115176409.6
2017-12-15,4018.73,4020.27,3980.86,3974.93,89044384.0,-45.29,-1.12,4028.524,4019.191,4057.569,85769411.2,97440445.6,118156104.0
2017-12-14,4050.9,4057.62,4026.15,4013.85,80768864.0,-23.94,-0.59,4033.028,4020.919,4064.568,85817105.6,98274698.4,123293091.2
2017-12-13,4013.83,4052.69,4050.09,4004.74,77546136.0,34.07,0.85,4022.01,4018.914,4068.511,87714142.4,100996147.2,125323868.8
2017-12-12,4068.51,4070.15,4016.02,4015.45,84338720.0,-53.48,-1.31,4015.156,4019.28,4069.69,94062156.8,105696898.4,127478346.8
2017-12-11,4006.88,4069.5,4069.5,4005.27,97148952.0,66.12,1.65,4019.986,4023.26,4073.856,108011827.2,107468836.0,130423257.2
2017-12-08,3962.83,4014.14,4003.38,3955.44,89282856.0,32.32,0.81,4009.858,4021.305,4076.785,109111480.0,112099468.8,133138125.6
2017-12-07,4003.58,4017.95,3971.06,3955.99,90254048.0,-44.76,-1.11,4008.81,4031.387,4082.212,110732291.2,116256986.4,135764841.2
2017-12-06,4027.12,4031.75,4015.82,3964.81,109286208.0,-24.35,-0.6,4015.818,4044.521,4087.454,114278152.0,125046304.8,137304955.6
2017-12-05,4007.94,4045.93,4040.17,4006.54,154087072.0,21.31,0.53,4023.404,4065.696,4089.063,117331640.0,132765383.2,139382030.8
2017-12-04,3989.05,4032.99,4018.86,3982.32,102647216.0,20.72,0.52,4026.534,4083.449,4089.767,106925844.8,135391757.6,139283510.8
2017-12-01,4003.56,4027.11,3998.14,3984.38,97386912.0,-7.96,-0.2,4032.752,4095.946,4089.868,115087457.6,138871762.4,140255208.0
2017-11-30,4034.01,4052.8,4006.1,3988.0,107983352.0,-47.65,-1.18,4053.964,4108.217,4089.596,121781681.6,148311484.0,141856084.4
2017-11-29,4061.35,4069.24,4053.75,4004.69,124553648.0,-2.07,-0.05,4073.224,4118.108,4089.148,135814457.6,149651590.4,142761946.0
2017-11-28,4034.21,4056.48,4055.82,4010.3,102058096.0,5.87,0.14,4107.988,4120.1,4086.292,148199126.4,149259795.2,143055132.4
2017-11-27,4088.93,4088.93,4049.95,4037.15,143455280.0,-54.25,-1.32,4140.364,4124.453,4083.837,163857670.4,153377678.4,143411166.4
2017-11-24,4089.47,4116.59,4104.2,4057.49,130858032.0,1.8,0.04,4159.14,4132.265,4081.825,162656067.2,154176782.4,144107782.4
2017-11-23,4213.38,4214.19,4102.4,4086.9,178147232.0,-125.17,-2.96,4162.47,4133.036,4077.714,174841286.4,155272696.0,143898523.2
2017-11-22,4228.37,4260.64,4227.57,4191.15,186476992.0,9.87,0.23,4162.992,4130.386,4072.273,163488723.2,149563606.4,141485934.8
2017-11-21,4131.85,4220.26,4217.7,4129.98,180350816.0,73.87,1.78,4132.212,4112.43,4059.742,150320464.0,145998678.4,136572358.0
2017-11-20,4093.73,4144.51,4143.83,4060.96,137447264.0,22.98,0.56,4108.542,4096.085,4046.826,142897686.4,143175264.0,132207724.8
2017-11-17,4094.08,4122.38,4120.85,4081.37,191784128.0,15.84,0.39,4105.39,4083.791,4036.175,145697497.6,141638653.6,129409610.4
2017-11-16,4063.49,4107.62,4105.01,4062.27,121384416.0,31.34,0.77,4103.602,4070.976,4026.475,135704105.6,135400684.8,123469412.8
2017-11-15,4084.21,4102.81,4073.67,4055.72,120635696.0,-25.68,-0.63,4097.78,4060.188,4017.787,135638489.6,135872301.6,122726554.8
2017-11-14,4129.27,4133.55,4099.35,4086.89,143236928.0,-28.72,-0.7,4092.648,4052.483,4011.312,141676892.8,136850469.6,121743262.0
2017-11-13,4115.55,4137.65,4128.07,4115.55,151446320.0,16.16,0.39,4083.628,4043.22,4001.998,143452841.6,133444654.4,118693477.2
2017-11-10,4070.28,4116.71,4111.91,4067.66,141817168.0,36.01,0.88,4062.192,4031.385,3991.267,137579809.6,134038782.4,117188912.8
2017-11-09,4043.07,4076.61,4075.9,4038.4,121056336.0,27.89,0.69,4038.35,4022.391,3981.721,135097264.0,132524350.4,114605157.6
2017-11-08,4051.49,4089.15,4048.01,4040.58,150827712.0,-6.24,-0.15,4022.596,4014.159,3973.574,136106113.6,133408263.2,113269387.2
2017-11-07,4022.4,4064.22,4054.25,4021.36,152116672.0,33.36,0.83,4012.318,4007.053,3966.308,132024046.4,127146037.6,110948909.2
2017-11-06,3989.18,4021.64,4020.89,3975.41,122081160.0,28.19,0.71,4002.812,3997.568,3958.088,123436467.2,121240185.6,108969704.8
2017-11-03,3992.35,3999.34,3992.7,3963.03,129404440.0,-4.43,-0.11,4000.578,3988.559,3951.154,130497755.2,117180567.2,109642439.6
2017-11-02,3994.09,3999.23,3997.13,3971.38,126100584.0,0.51,0.01,4006.432,3981.974,3943.344,129951436.8,111538140.8,107837519.2
2017-11-01,4007.91,4032.46,3996.62,3991.32,130417376.0,-10.1,-0.25,4005.722,3975.386,3934.614,130710412.8,109580808.0,106209693.6
